POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;Viçosa;MG;Federal;153;631.29;686.78;646.75;789.59;910.59;733.0
2;Mantena;MG;Privada;3;664.47;696.5;654.17;713.43;906.67;727.05
3;Brazópolis;MG;Privada;6;648.72;699.42;634.87;797.97;846.67;725.53
4;Vila Velha;ES;Federal;40;624.32;667.68;663.09;764.01;846.5;713.12
5;Santana do Manhuaçu;MG;Estadual;1;651.1;730.3;591.2;720.2;840.0;706.56
6;Novo Xingu;RS;Estadual;1;616.2;705.0;647.2;836.1;720.0;704.9
7;Divinópolis;MG;Federal;81;621.85;643.84;622.62;727.9;874.32;698.11
8;Coqueiros do Sul;RS;Estadual;1;599.1;651.4;649.7;787.4;780.0;693.52
9;Novo Itacolomi;PR;Estadual;1;674.6;779.6;586.1;823.2;600.0;692.7
10;Pirangi;SP;Privada;5;635.42;665.04;605.32;688.84;860.0;690.92
11;Porteirinha;MG;Privada;1;633.0;657.3;590.4;780.8;780.0;688.3
12;Vitória;ES;Federal;242;615.5;649.56;621.79;737.73;811.16;687.15
13;Biquinhas;MG;Estadual;1;649.0;684.4;670.6;784.2;640.0;685.64
14;Ipatinga;MG;Privada;331;602.52;632.23;596.95;706.88;881.51;684.02
15;Cachoeiro de Itapemirim;ES;Federal;68;611.44;645.79;620.28;716.69;816.47;682.13
16;Passa Vinte;MG;Estadual;2;628.15;660.2;621.4;688.95;810.0;681.74
17;Angra dos Reis;RJ;Federal;16;621.24;662.09;617.86;774.92;717.5;678.72
18;Belo Horizonte;MG;Federal;648;618.01;642.05;615.17;724.1;791.23;678.11
19;Maracás;BA;Privada;1;639.0;682.6;578.9;649.8;840.0;678.06
20;Encantado;RS;Privada;6;615.75;632.92;603.52;690.73;836.67;675.92
21;Cássia;MG;Privada;10;570.16;641.23;619.11;696.48;846.0;674.6
22;Santa Maria;RS;Federal;131;609.52;631.45;602.78;692.71;831.3;673.55
23;Timóteo;MG;Federal;73;608.28;646.11;603.74;705.85;801.37;673.07
24;São Mateus;ES;Federal;40;606.62;625.91;602.81;692.94;835.0;672.66
25;Betim;MG;Federal;121;605.48;633.64;602.48;704.8;808.26;670.93
26;Santo Antônio do Aventureiro;MG;Estadual;1;592.5;644.0;614.3;603.2;900.0;670.8
27;Nova Prata;RS;Privada;11;618.55;629.1;563.86;724.14;809.09;668.95
28;Vargem Grande do Rio Pardo;MG;Estadual;3;604.33;635.93;605.77;691.17;806.67;668.77
29;Santa Bárbara;BA;Privada;8;579.6;611.72;584.49;658.14;907.5;668.29
30;Limoeiro do Norte;CE;Privada;101;587.73;613.44;586.69;662.0;884.75;666.92
31;Itaúna;MG;Privada;125;601.82;624.81;590.27;688.97;823.84;665.94
32;Teutônia;RS;Privada;18;594.79;623.23;591.03;715.92;804.44;665.88
33;Coremas;PB;Privada;1;593.4;662.3;621.0;685.4;760.0;664.42
34;Florestal;MG;Federal;51;600.32;623.3;592.36;691.45;814.12;664.31
35;São Miguel Arcanjo;SP;Privada;3;616.4;642.07;599.6;719.63;740.0;663.54
36;Timóteo;MG;Privada;112;588.38;616.45;580.74;672.63;857.32;663.11
37;Guarapari;ES;Federal;101;599.22;624.29;588.21;691.41;810.3;662.69
38;Lagarto;SE;Privada;35;595.09;627.87;591.52;647.16;848.0;661.93
39;Serra;ES;Federal;54;610.17;631.63;593.37;720.51;753.33;661.81
40;Feliz;RS;Privada;4;620.88;644.95;597.28;597.3;845.0;661.08
41;Diamantina;MG;Privada;35;590.99;610.8;580.5;664.29;857.14;660.75
42;Nova Era;MG;Privada;13;585.32;604.42;576.65;671.41;864.62;660.48
43;Tabuleiro do Norte;CE;Privada;2;543.2;627.1;597.8;632.7;900.0;660.16
44;Pato Branco;PR;Federal;32;618.28;637.94;591.57;712.12;740.0;659.98
45;Araxá;MG;Federal;72;586.87;602.01;583.44;665.61;861.94;659.97
46;Assis Chateaubriand;PR;Privada;12;589.4;633.22;609.67;679.36;785.0;659.33
47;Belo Horizonte;MG;Privada;4109;602.6;622.83;589.68;685.23;794.9;659.05
48;Ubá;MG;Privada;153;592.08;619.5;584.67;675.32;823.53;659.02
49;Caetité;BA;Privada;28;584.68;609.81;564.07;666.01;870.0;658.91
50;Águas Formosas;MG;Privada;1;604.7;685.5;598.9;683.8;720.0;658.58
51;Guanhães;MG;Privada;21;595.05;613.49;596.43;683.43;801.9;658.06
52;Valinhos;SP;Privada;318;607.26;625.01;598.01;699.14;759.62;657.81
53;Formiga;MG;Privada;65;581.43;617.74;581.93;669.06;837.85;657.6
54;Arroio do Meio;RS;Privada;10;606.56;624.21;604.75;717.03;734.0;657.31
55;Ivinhema;MS;Privada;4;601.2;623.35;575.1;653.02;830.0;656.54
56;Pedro Teixeira;MG;Estadual;1;595.2;647.1;595.1;703.4;740.0;656.16
57;Brotas;SP;Municipal;1;553.9;497.3;598.4;690.2;940.0;655.96
58;São Sebastião do Paraíso;MG;Privada;47;594.46;598.07;562.14;648.42;876.6;655.94
59;João Pessoa;PB;Municipal;1;622.0;571.8;586.1;658.2;840.0;655.62
60;Abaeté;MG;Privada;22;601.12;592.73;576.15;694.43;813.64;655.61
61;Holambra;SP;Privada;47;611.05;631.76;606.53;710.63;714.47;654.89
62;Varginha;MG;Federal;66;603.05;627.83;591.27;667.56;783.33;654.61
63;Ouro Branco;MG;Federal;71;593.03;624.26;577.65;663.15;814.08;654.44
64;Carlos Gomes;RS;Estadual;2;606.35;623.25;575.6;677.0;790.0;654.44
65;Nova Lima;MG;Privada;188;597.26;619.31;585.33;678.44;791.49;654.36
