POSICAO;CO_ESCOLA;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
7324;60020642.0;Caieiras;SP;Privada;Urbana;6;539.03;524.88;482.65;566.68;696.67;561.98
7325;50005626.0;Campo Grande;MS;Privada;Urbana;52;553.97;536.69;519.74;550.56;648.85;561.96
7326;35014722.0;Botucatu;SP;Estadual;Urbana;147;567.36;540.07;515.28;565.58;621.36;561.93
7327;42015987.0;Blumenau;SC;Estadual;Urbana;87;551.49;525.56;502.65;538.13;691.72;561.91
7328;31035262.0;Pedra do Indaiá;MG;Estadual;Urbana;18;554.06;536.52;506.51;572.43;640.0;561.9
7329;41032853.0;Londrina;PR;Estadual;Urbana;109;562.69;542.52;504.65;572.8;626.79;561.89
7330;43165060.0;Mato Leitão;RS;Estadual;Urbana;16;548.61;523.67;510.59;520.26;706.25;561.88
7331;42061342.0;Flor do Sertão;SC;Estadual;Urbana;13;549.49;532.43;517.32;559.42;650.77;561.88
7332;29642612.0;Salvador;BA;Privada;Urbana;46;551.44;533.94;516.5;531.42;676.09;561.88
7333;35585440.0;Matão;SP;Federal;Urbana;63;551.44;523.15;526.05;568.07;640.63;561.87
7334;60020228.0;São Paulo;SP;Privada;Urbana;5;549.5;544.9;518.0;556.78;640.0;561.84
7335;29301475.0;Ilhéus;BA;Estadual;Urbana;128;545.29;523.82;502.84;529.16;708.12;561.84
7336;52062546.0;Pires do Rio;GO;Estadual;Urbana;72;545.92;511.53;515.08;543.0;693.61;561.83
7337;35030636.0;Auriflama;SP;Estadual;Urbana;7;534.87;524.71;517.93;517.29;714.29;561.82
7338;31004936.0;Belo Horizonte;MG;Privada;Urbana;30;549.76;533.87;515.84;588.91;620.67;561.81
7339;14006111.0;Boa Vista;RR;Federal;Urbana;40;551.76;543.28;527.84;536.57;649.5;561.79
7340;16011589.0;Santana;AP;Federal;Urbana;85;546.93;529.06;504.2;527.78;700.94;561.78
7341;52020428.0;Anápolis;GO;Estadual;Urbana;70;539.64;515.87;499.0;506.69;747.71;561.78
7342;35063587.0;Morro Agudo;SP;Municipal;Urbana;75;555.6;525.33;503.01;548.65;676.27;561.77
7343;60002128.0;Xinguara;PA;Privada;Urbana;3;552.77;536.77;571.27;501.37;646.67;561.77
7344;29339227.0;Guanambi;BA;Federal;Rural;63;539.26;521.73;521.26;539.81;686.67;561.75
7345;60003436.0;Barra do Corda;MA;Privada;Urbana;1;515.8;469.1;480.7;663.1;680.0;561.74
7346;60013713.0;Governador Lindenberg;ES;Estadual;Urbana;6;544.68;517.92;523.37;552.67;670.0;561.73
7347;35153084.0;São Paulo;SP;Privada;Urbana;12;544.62;548.68;527.68;557.68;630.0;561.73
7348;24009296.0;Açu;RN;Privada;Urbana;15;548.41;516.49;482.01;531.09;730.67;561.73
7349;52093808.0;Porangatu;GO;Privada;Urbana;28;535.76;505.45;516.29;544.66;706.43;561.72
7350;28032063.0;Aracaju;SE;Privada;Urbana;43;533.62;519.19;505.62;530.19;720.0;561.72
7351;60025510.0;Massaranduba;SC;Estadual;Rural;3;549.4;554.53;534.33;583.67;586.67;561.72
7352;31118796.0;Patos de Minas;MG;Estadual;Urbana;7;554.4;526.97;533.66;527.79;665.71;561.71
7353;21279764.0;São José de Ribamar;MA;Federal;Urbana;130;546.95;536.29;522.8;549.69;652.77;561.7
7354;27041042.0;Satuba;AL;Federal;Urbana;124;543.16;526.17;528.6;546.85;663.71;561.7
7355;29485827.0;Catu;BA;Privada;Urbana;14;548.32;516.64;508.78;529.06;705.71;561.7
7356;21265240.0;Anapurus;MA;Privada;Urbana;18;520.67;521.27;493.17;533.31;740.0;561.68
7357;60029620.0;Goiânia;GO;Privada;Urbana;3;560.93;530.9;535.17;594.5;586.67;561.63
7358;53010450.0;Brasília;DF;Privada;Urbana;34;546.05;530.76;515.21;551.94;664.12;561.61
7359;35100900.0;São Paulo;SP;Privada;Urbana;24;566.05;520.52;528.53;556.26;636.67;561.61
7360;33028850.0;Saquarema;RJ;Privada;Urbana;17;561.18;547.04;534.54;558.19;607.06;561.6
7361;33181110.0;Cabo Frio;RJ;Privada;Urbana;29;542.63;515.97;503.22;538.59;707.59;561.6
7362;41058569.0;Jaguariaíva;PR;Privada;Urbana;19;562.76;526.58;529.19;580.88;608.42;561.57
7363;42055539.0;Caibi;SC;Estadual;Urbana;27;538.04;527.16;524.69;561.61;656.3;561.56
7364;60015871.0;São Gonçalo;RJ;Privada;Urbana;7;561.56;540.84;494.2;502.57;708.57;561.55
7365;33063974.0;Rio de Janeiro;RJ;Privada;Urbana;17;546.99;533.24;500.22;537.91;689.41;561.55
7366;28032861.0;Aracaju;SE;Privada;Urbana;186;544.62;525.29;509.5;539.11;689.25;561.55
7367;15200205.0;Altamira;PA;Federal;Urbana;71;551.51;536.79;525.93;530.65;662.82;561.54
7368;51069091.0;Alta Floresta;MT;Estadual;Urbana;55;547.58;521.47;511.14;541.66;685.82;561.53
7369;15038688.0;Belém;PA;Federal;Urbana;101;516.15;518.54;524.37;547.52;700.99;561.52
7370;50013432.0;Nova Andradina;MS;Estadual;Urbana;29;539.11;527.19;500.94;541.75;698.62;561.52
7371;26176262.0;São José do Egito;PE;Estadual;Urbana;123;543.29;516.02;519.62;548.78;679.84;561.51
7372;35802591.0;Orlândia;SP;Privada;Urbana;11;551.94;517.33;481.69;547.49;709.09;561.51
7373;35006934.0;São José do Rio Preto;SP;Privada;Urbana;30;554.78;527.5;510.4;549.5;665.33;561.5
7374;35009476.0;São Paulo;SP;Privada;Urbana;26;533.27;504.88;499.05;531.0;739.23;561.49
7375;31294047.0;Belo Horizonte;MG;Privada;Urbana;18;558.23;528.18;499.36;539.34;682.22;561.47
7376;13103377.0;Manaus;AM;Estadual;Urbana;239;558.07;532.14;517.25;544.57;655.31;561.47
7377;35475221.0;Ibaté;SP;Estadual;Urbana;54;558.88;539.06;510.74;550.47;648.15;561.46
7378;32012713.0;Marilândia;ES;Estadual;Urbana;46;545.33;518.5;501.33;558.98;683.04;561.44
7379;35165335.0;São Paulo;SP;Privada;Urbana;12;556.28;529.22;507.58;555.72;658.33;561.43
7380;51069997.0;Barra do Garças;MT;Privada;Urbana;18;515.14;517.71;492.61;529.48;752.22;561.43
7381;35100808.0;São Paulo;SP;Privada;Urbana;72;558.5;528.83;510.02;541.9;667.78;561.4
7382;15180611.0;Belém;PA;Privada;Urbana;12;519.48;500.3;486.02;552.88;748.33;561.4
7383;33143846.0;Niterói;RJ;Privada;Urbana;21;557.17;538.32;475.8;530.86;704.76;561.38
7384;33018820.0;Cantagalo;RJ;Estadual;Urbana;47;539.87;527.65;520.81;539.02;679.57;561.38
7385;35154283.0;Diadema;SP;Privada;Urbana;47;544.96;518.6;500.97;588.74;653.62;561.38
7386;15568830.0;Tucumã;PA;Privada;Urbana;19;543.5;517.77;500.35;579.97;665.26;561.37
7387;35110875.0;Jacareí;SP;Privada;Urbana;50;558.34;523.08;512.37;570.6;642.4;561.36
7388;60020530.0;São Paulo;SP;Privada;Urbana;8;564.38;517.81;486.09;526.05;712.5;561.36
7389;25090852.0;Bayeux;PB;Privada;Urbana;79;551.88;533.25;508.16;555.89;657.47;561.33
7390;60006572.0;Massaranduba;PB;Privada;Urbana;3;550.63;498.77;544.67;552.6;660.0;561.33
7391;31324434.0;Itajubá;MG;Privada;Urbana;10;558.59;523.28;514.95;553.75;656.0;561.31
7392;35117420.0;Paraguaçu Paulista;SP;Privada;Urbana;23;562.05;535.1;511.45;550.14;647.83;561.31
7393;25047469.0;Parari;PB;Estadual;Urbana;12;542.43;524.38;480.62;509.12;750.0;561.31
7394;25106210.0;Itabaiana;PB;Privada;Urbana;18;533.69;519.66;492.77;527.06;733.33;561.3
7395;60021412.0;Pitangueiras;SP;Privada;Urbana;5;580.28;525.7;497.18;583.3;620.0;561.29
7396;41028236.0;Novo Itacolomi;PR;Estadual;Urbana;11;550.31;560.65;510.55;575.84;609.09;561.29
7397;52011755.0;Uruaçu;GO;Estadual;Urbana;120;532.08;500.74;503.77;551.47;718.33;561.28
7398;35027418.0;Zacarias;SP;Estadual;Urbana;13;557.76;539.91;550.91;577.82;580.0;561.28
7399;35150162.0;Guarulhos;SP;Privada;Urbana;12;550.99;508.23;500.09;592.08;655.0;561.28
7400;60018283.0;Nova Castilho;SP;Estadual;Urbana;3;559.6;560.7;505.87;606.83;573.33;561.27
7401;60010997.0;Santa Maria do Suaçuí;MG;Estadual;Urbana;2;551.05;545.75;499.65;569.85;640.0;561.26
7402;60020628.0;Cotia;SP;Privada;Urbana;3;552.5;541.7;518.73;586.63;606.67;561.25
7403;60016615.0;Mairiporã;SP;Privada;Urbana;3;558.87;545.13;508.73;566.77;626.67;561.23
7404;31033944.0;Itaúna;MG;Estadual;Urbana;10;566.5;534.21;506.39;546.98;652.0;561.22
7405;35018715.0;Campinas;SP;Estadual;Urbana;15;567.18;547.27;506.32;563.97;621.33;561.22
7406;25284940.0;Monteiro;PB;Federal;Urbana;98;538.33;533.84;511.64;532.63;689.59;561.21
7407;35187318.0;Guarujá;SP;Privada;Urbana;19;546.77;540.51;501.09;533.48;684.21;561.21
7408;33118949.0;Petrópolis;RJ;Privada;Urbana;53;555.71;530.43;494.79;550.41;674.72;561.21
7409;35025598.0;Bauru;SP;Estadual;Urbana;109;557.74;534.66;513.57;544.44;655.6;561.2
7410;35450935.0;São Paulo;SP;Privada;Urbana;71;562.38;533.12;527.19;541.04;642.25;561.2
7411;31054488.0;Brazópolis;MG;Estadual;Urbana;92;539.75;522.2;499.87;562.17;681.96;561.19
7412;60013648.0;Itamonte;MG;Estadual;Rural;3;590.97;557.9;559.5;544.27;553.33;561.19
7413;60024354.0;Ponta Grossa;PR;Privada;Urbana;4;541.2;539.17;509.9;565.65;650.0;561.18
7414;27014940.0;Palmeira dos Índios;AL;Privada;Urbana;33;547.18;512.45;526.12;543.2;676.97;561.18
7415;31273376.0;Barbacena;MG;Estadual;Urbana;26;548.87;525.07;506.9;556.55;668.46;561.17
7416;60008496.0;Barra;BA;Privada;Urbana;7;513.1;503.27;469.93;513.74;805.71;561.15
7417;35154106.0;São Paulo;SP;Privada;Urbana;35;546.24;508.58;519.11;556.31;675.43;561.13
7418;31032549.0;Carmo do Cajuru;MG;Estadual;Urbana;70;543.02;537.3;506.15;553.44;665.71;561.12
7419;60008042.0;Maceió;AL;Privada;Urbana;3;524.1;551.13;509.67;527.33;693.33;561.11
