POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;Viçosa;MG;Federal;157;617.26;698.67;674.47;772.52;849.43;722.47
2;Vitória;ES;Federal;124;616.72;666.71;657.13;757.0;694.84;678.48
3;Angra dos Reis;RJ;Federal;45;611.15;671.96;626.92;804.43;667.11;676.31
4;Ibirama;SC;Privada;7;621.57;656.31;631.64;660.49;794.29;672.86
5;Timóteo;MG;Federal;72;610.81;664.7;630.83;706.53;732.22;669.02
6;Monte Santo de Minas;MG;Privada;15;594.83;652.19;603.28;632.99;860.0;668.66
7;Belo Horizonte;MG;Federal;857;608.09;666.71;622.45;708.63;727.21;666.62
8;Ponta Grossa;PR;Federal;30;613.13;668.4;631.25;720.35;695.33;665.69
9;Timóteo;MG;Privada;124;584.98;654.63;610.52;675.75;793.87;663.95
10;Ubá;MG;Privada;130;593.08;646.3;606.07;686.69;774.23;661.27
11;São Paulo;SP;Federal;376;612.63;666.55;624.97;721.56;676.54;660.45
12;Niterói;RJ;Federal;227;599.33;662.33;606.05;666.34;765.81;659.97
13;Itamogi;MG;Privada;8;600.68;657.65;614.26;673.31;737.5;656.68
14;Volta Redonda;RJ;Federal;33;598.82;655.52;623.32;723.68;680.61;656.39
15;Cachoeiro de Itapemirim;ES;Federal;66;602.62;661.62;623.22;682.95;694.55;652.99
16;Divinópolis;MG;Federal;93;598.07;657.58;589.72;667.67;751.4;652.89
17;Duque de Caxias;RJ;Federal;335;591.01;658.13;605.29;659.87;745.67;651.99
18;Cubatão;SP;Federal;100;596.66;652.1;593.26;669.72;741.34;650.62
19;Cariacica;ES;Federal;93;609.71;657.37;619.07;706.92;659.78;650.57
20;Pacajus;CE;Privada;65;581.39;642.05;582.16;639.78;806.77;650.43
21;Feliz;RS;Federal;17;602.74;656.26;575.79;660.23;756.47;650.3
22;Holambra;SP;Privada;24;589.26;653.18;622.56;715.72;663.33;648.81
23;Curitiba;PR;Federal;512;603.3;655.06;606.56;679.44;695.04;647.88
24;Pato Branco;PR;Federal;29;593.58;653.37;592.29;692.53;701.38;646.63
25;Santa Maria;RS;Federal;186;593.02;652.89;606.61;670.17;704.41;645.42
26;Nova Lima;MG;Privada;220;592.18;651.79;596.98;653.46;732.55;645.39
27;Salvador;BA;Federal;344;590.63;653.47;598.44;659.54;724.48;645.31
28;Guanhães;MG;Privada;32;572.9;629.72;589.89;673.04;759.38;644.98
29;Junqueirópolis;SP;Privada;19;582.33;636.88;608.51;690.71;705.26;644.74
30;Campo Mourão;PR;Federal;26;599.15;645.94;604.57;694.32;678.46;644.49
31;Valinhos;SP;Privada;522;599.22;646.55;600.46;660.3;706.94;642.69
32;Bom Despacho;MG;Privada;34;590.31;652.19;607.35;677.54;685.29;642.54
33;Nova Venécia;ES;Federal;55;588.51;646.3;597.09;686.73;691.27;641.98
34;Ipatinga;MG;Privada;523;578.82;638.6;593.49;651.28;741.06;640.65
35;Recife;PE;Federal;492;584.37;647.02;590.38;657.6;721.3;640.14
36;Campo Grande;MS;Federal;222;588.2;645.55;593.07;653.16;720.63;640.12
37;Espera Feliz;MG;Privada;14;572.17;655.16;590.38;647.59;734.29;639.92
38;Barbacena;MG;Federal;257;590.4;644.97;597.23;698.2;668.72;639.9
39;Contagem;MG;Federal;81;601.03;656.55;606.59;638.5;696.79;639.89
40;Rio de Janeiro;RJ;Federal;1991;594.51;650.49;584.78;640.91;727.9;639.72
41;Fortaleza;CE;Federal;268;589.75;652.23;592.81;646.71;716.87;639.67
42;Nilópolis;RJ;Federal;155;581.71;641.19;607.25;656.66;710.45;639.45
43;Arroio do Meio;RS;Privada;28;584.76;638.55;573.83;665.4;734.29;639.37
44;Vera Cruz;RS;Privada;25;592.64;637.14;576.25;630.17;757.6;638.76
45;Governador Valadares;MG;Federal;52;579.73;645.18;589.93;679.07;696.06;638.0
46;Estrela;RS;Privada;53;597.92;643.77;577.82;657.32;712.08;637.78
47;Cerro Largo;RS;Privada;27;605.75;656.29;588.53;580.57;757.04;637.63
48;Congonhas;MG;Federal;96;592.96;644.81;580.41;660.11;708.96;637.45
49;Paranapanema;SP;Privada;10;585.39;655.01;599.15;617.16;726.0;636.54
50;Varginha;MG;Federal;77;589.94;651.07;581.19;652.86;706.75;636.36
51;Itapiranga;SC;Privada;14;529.68;635.84;583.09;673.9;757.14;635.93
52;Aracruz;ES;Federal;108;586.4;638.44;604.43;677.04;672.96;635.85
53;Belo Horizonte;MG;Privada;6169;586.57;641.94;592.84;646.76;710.23;635.67
54;Sete Lagoas;MG;Privada;420;589.63;640.33;582.54;635.5;728.95;635.39
55;Araxá;MG;Federal;83;580.48;642.69;583.16;668.26;698.8;634.68
56;Muriaé;MG;Privada;131;584.71;635.98;581.76;634.77;735.57;634.56
57;Pedro Leopoldo;MG;Privada;122;587.02;639.65;581.41;637.65;725.41;634.22
58;São Mateus;ES;Federal;53;575.12;640.76;599.2;662.93;690.94;633.79
59;Uberlândia;MG;Privada;1224;581.96;638.33;586.65;623.29;734.77;633.0
60;Juiz de Fora;MG;Federal;353;586.5;641.76;583.52;639.95;711.44;632.64
61;Areado;MG;Privada;26;597.87;645.59;566.4;610.19;741.54;632.32
62;Caetité;BA;Privada;20;574.43;643.62;593.39;639.71;710.0;632.23
63;Ouro Branco;MG;Federal;78;594.72;635.57;586.86;641.14;702.31;632.12
64;Itabirito;MG;Privada;26;588.79;641.5;590.93;611.18;727.69;632.02
65;Monte Mor;SP;Privada;14;609.01;651.76;623.41;643.76;631.43;631.87
66;Medianeira;PR;Federal;60;596.24;647.0;598.66;666.19;649.0;631.42
67;Parnamirim;RN;Federal;100;584.52;632.34;589.79;639.88;708.8;631.07
68;Cunha;SP;Privada;8;586.15;659.06;577.25;604.26;727.5;630.84
69;Monte Sião;MG;Privada;33;585.23;635.81;609.23;681.55;640.61;630.49
70;Itaúna;MG;Privada;152;585.56;639.02;592.64;666.3;666.64;630.03
71;São Sebastião do Paraíso;MG;Privada;68;572.73;633.02;569.85;616.52;757.65;629.95
72;Rio Grande;RS;Federal;104;570.09;627.38;577.81;643.47;730.58;629.86
73;Diamantina;MG;Privada;56;577.96;637.1;583.33;632.67;717.5;629.71
74;Tapiratiba;SP;Privada;6;611.63;637.08;546.18;666.63;686.67;629.64
75;Abaeté;MG;Privada;34;592.48;627.97;576.42;626.0;725.29;629.63
76;Itabira;MG;Privada;119;574.82;629.24;567.92;628.76;745.71;629.29
77;Mossoró;RN;Federal;144;584.92;643.53;578.8;629.59;707.64;628.89
78;São João del Rei;MG;Privada;235;573.49;628.43;580.34;622.83;738.13;628.64
79;São Gonçalo;RJ;Federal;42;591.89;633.45;594.4;618.65;704.76;628.63
80;Matozinhos;MG;Privada;26;571.45;638.7;584.64;670.1;673.08;627.59
81;Juiz de Fora;MG;Privada;1454;580.18;636.75;578.18;625.68;716.53;627.47
82;Guarapari;ES;Federal;61;585.79;637.96;579.28;653.83;678.69;627.11
83;Guaxupé;MG;Privada;75;577.79;637.65;581.46;638.62;699.15;626.93
84;Varginha;MG;Privada;287;581.52;632.1;573.57;632.11;715.3;626.92
85;São Lourenço;MG;Privada;128;584.82;639.35;579.95;634.48;695.62;626.85
86;Natal;RN;Federal;400;585.37;639.34;572.19;623.4;709.9;626.04
87;Lagoa Santa;MG;Privada;78;586.08;644.22;583.59;613.02;702.82;625.95
88;Carangola;MG;Privada;55;576.73;633.51;575.07;628.12;713.45;625.38
89;Nova Friburgo;RJ;Privada;459;589.21;634.7;566.39;620.64;712.24;624.64
90;Barueri;SP;Privada;223;598.42;639.76;592.47;632.5;659.26;624.48
91;Patos de Minas;MG;Privada;214;576.82;631.02;579.82;613.49;720.02;624.23
92;Leopoldina;MG;Federal;68;579.41;631.6;580.08;658.0;671.18;624.05
93;Teófilo Otoni;MG;Privada;143;572.35;632.43;578.36;612.39;723.36;623.78
94;Nova Era;MG;Privada;13;574.36;648.25;600.48;656.88;636.92;623.38
95;Venâncio Aires;RS;Privada;42;595.79;633.94;573.45;606.02;706.19;623.08
96;Raul Soares;MG;Privada;26;570.14;629.2;572.89;630.53;712.31;623.01
97;Piranguinho;MG;Privada;5;557.46;624.14;580.16;656.72;696.0;622.9
98;Martinópolis;SP;Privada;14;576.24;619.66;573.61;647.24;697.14;622.78
99;Nova Prata;RS;Privada;20;579.68;640.94;592.14;620.68;680.0;622.69
100;Borda da Mata;MG;Privada;9;582.76;642.96;567.51;655.11;664.44;622.56
101;Aracaju;SE;Federal;118;572.48;636.08;573.18;615.84;715.08;622.53
102;Divinópolis;MG;Privada;299;578.99;632.28;573.0;630.41;697.87;622.51
103;Curvelo;MG;Federal;62;570.02;633.34;583.81;649.88;674.52;622.31
104;Pouso Alegre;MG;Privada;311;586.2;633.25;577.38;627.06;687.01;622.18
105;Vitória;ES;Privada;1542;588.04;634.25;583.29;640.09;664.62;622.06
106;Fartura;SP;Privada;25;586.53;634.96;587.88;630.25;668.8;621.68
107;Poços de Caldas;MG;Privada;306;586.58;634.95;570.76;621.03;694.51;621.57
