POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;Viçosa;MG;Federal;159;615.19;682.43;673.75;787.86;833.84;718.61
2;Arinos;MG;Privada;2;631.8;669.8;637.6;697.6;770.0;681.36
3;Vitória;ES;Federal;202;599.78;639.54;637.64;729.94;767.62;674.91
4;Divinópolis;MG;Federal;87;597.17;639.36;612.97;708.93;798.85;671.46
5;Timóteo;MG;Federal;84;589.61;637.65;626.37;729.98;772.14;671.15
6;Timóteo;MG;Privada;99;575.06;636.24;610.56;684.17;844.04;670.01
7;Varginha;MG;Federal;76;601.83;645.53;615.1;727.33;744.21;666.8
8;Paranapanema;SP;Privada;14;594.11;636.71;603.58;699.04;800.0;666.69
9;Nova Friburgo;RJ;Federal;29;602.86;644.28;612.46;707.49;761.38;665.69
10;Caetité;BA;Privada;15;578.23;640.55;636.62;694.33;774.67;664.88
11;Realeza;PR;Privada;9;583.97;632.1;613.66;655.64;837.78;664.63
12;Aracruz;ES;Federal;67;581.79;631.73;631.01;723.28;749.85;663.53
13;Arroio do Meio;RS;Privada;17;572.84;638.42;644.96;700.68;755.29;662.44
14;Ubá;MG;Privada;157;578.73;633.11;624.39;700.21;758.22;658.93
15;Ipatinga;MG;Privada;445;585.38;626.98;618.21;686.97;776.85;658.88
16;Belo Horizonte;MG;Federal;843;598.71;634.59;626.44;715.5;716.16;658.28
17;Governador Valadares;MG;Federal;59;593.45;632.04;609.58;688.62;765.76;657.89
18;Cachoeiro de Itapemirim;ES;Federal;53;579.41;634.64;640.82;720.26;714.34;657.89
19;Barbacena;MG;Municipal;1;600.7;651.0;648.2;669.1;720.0;657.8
20;Roseira;SP;Municipal;1;631.7;660.8;620.6;609.8;760.0;656.58
21;Caconde;SP;Privada;11;591.9;638.24;573.87;689.3;785.45;655.75
22;Osório;RS;Federal;46;603.73;622.2;595.96;664.1;787.39;654.68
23;Morrinhos;CE;Privada;1;562.1;623.0;596.2;647.6;840.0;653.78
24;Lajinha;MG;Privada;4;583.8;622.7;603.83;681.0;775.0;653.26
25;Capelinha;MG;Privada;18;585.97;646.5;599.69;700.76;731.11;652.8
26;Vespasiano;MG;Privada;70;578.29;627.63;615.87;690.93;748.29;652.2
27;Campo Mourão;PR;Federal;28;593.69;623.42;607.06;712.5;723.57;652.05
28;Guanhães;MG;Privada;31;576.19;626.12;622.26;702.36;732.9;651.97
29;Cariacica;ES;Federal;133;587.72;628.75;611.36;706.65;724.81;651.86
30;Holambra;SP;Privada;34;589.44;630.98;624.97;704.75;706.47;651.32
31;Viçosa;MG;Privada;251;571.75;619.88;608.88;669.55;785.82;651.18
32;Farroupilha;RS;Federal;25;602.28;637.56;616.51;707.04;688.8;650.44
33;Resplendor;MG;Privada;12;574.29;628.58;628.53;656.88;761.67;649.99
34;São Mateus;ES;Federal;60;576.57;620.14;604.81;693.46;754.33;649.86
35;Ervália;MG;Privada;14;583.92;634.16;602.16;652.17;775.71;649.62
36;Formiga;MG;Federal;49;573.97;615.25;609.23;661.33;783.67;648.69
37;Itabira;MG;Privada;132;578.86;623.43;604.26;663.97;771.36;648.38
38;Angra dos Reis;RJ;Federal;81;593.63;649.92;608.9;751.78;635.8;648.01
39;Vitória;ES;Privada;1487;580.72;621.59;610.85;671.22;754.96;647.87
40;Niterói;RJ;Federal;201;580.38;628.3;602.71;671.36;755.62;647.68
41;Nova Lima;MG;Privada;250;593.68;629.04;605.43;678.17;730.56;647.38
42;Pacajus;CE;Privada;69;576.68;616.35;589.46;642.54;809.86;646.98
43;Sete Lagoas;MG;Privada;361;577.3;620.51;605.1;659.66;767.76;646.07
44;Guarapari;ES;Federal;71;587.8;622.96;608.2;674.4;736.06;645.88
45;Raul Soares;MG;Privada;34;556.11;627.88;606.51;651.54;785.29;645.47
46;Belo Horizonte;MG;Privada;5488;586.79;624.97;609.94;683.46;720.04;645.04
47;Patos de Minas;MG;Federal;50;587.15;612.37;590.53;666.1;767.2;644.67
48;Valinhos;SP;Privada;508;593.14;630.76;613.86;691.59;690.87;644.04
49;Santa Maria;RS;Federal;251;585.35;627.34;613.1;686.17;707.65;643.92
50;Itaúna;MG;Privada;163;587.26;630.85;614.22;691.4;693.74;643.49
51;Feliz;RS;Federal;17;581.05;634.09;597.31;707.66;696.47;643.32
