POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
7748;ACARAU;CE;Estadual;Rural;106;460.37;498.86;449.1;434.58;410.0;450.58
7749;BOA NOVA;BA;Estadual;Urbana;39;475.38;499.97;442.6;401.58;433.33;450.57
7750;PRESIDENTE JUSCELINO;RN;Estadual;Urbana;40;481.5;500.74;452.66;418.39;399.5;450.56
7751;ALTANEIRA;CE;Estadual;Urbana;108;469.46;508.79;452.25;429.34;392.96;450.56
7752;JACIARA;MT;Estadual;Rural;1;441.9;468.7;418.4;423.7;500.0;450.54
7753;PAQUETA;PI;Estadual;Urbana;11;481.76;490.09;457.28;412.6;410.91;450.53
7754;CONDE;PB;Estadual;Urbana;60;465.65;501.09;450.02;422.82;413.0;450.52
7755;CANGUARETAMA;RN;Estadual;Urbana;124;474.35;512.66;442.89;421.39;401.29;450.52
7756;SAO BENEDITO;CE;Estadual;Rural;30;475.54;503.39;467.39;410.96;395.33;450.52
7757;ANAPU;PA;Privada;Urbana;1;451.9;566.1;431.2;443.4;360.0;450.52
7758;SANTA LUZIA DO PARA;PA;Estadual;Urbana;120;464.94;502.03;441.63;416.82;427.17;450.52
7759;LARANJAL;PR;Estadual;Rural;9;455.61;507.13;425.52;390.93;473.33;450.51
7760;BODO;RN;Estadual;Urbana;9;476.24;498.11;461.27;396.83;420.0;450.49
7761;GONCALVES DIAS;MA;Estadual;Urbana;35;455.27;504.94;458.48;419.48;414.29;450.49
7762;NOVO SANTO ANTONIO;PI;Estadual;Urbana;19;463.07;502.36;445.17;415.46;426.32;450.48
7763;SENADOR LA ROCQUE;MA;Estadual;Urbana;69;462.5;508.61;443.27;425.46;412.46;450.46
7764;PILAR;AL;Estadual;Urbana;98;465.49;504.14;443.43;407.74;431.43;450.45
7765;ALTO ALEGRE DO PINDARE;MA;Estadual;Urbana;85;464.93;496.31;447.46;439.98;403.53;450.44
7766;SANTA TEREZINHA;MT;Estadual;Urbana;15;477.72;500.62;449.92;439.85;384.0;450.42
7767;BREJAO;PE;Estadual;Urbana;58;466.63;506.96;441.21;431.4;405.86;450.41
7768;FONTOURA XAVIER;RS;Estadual;Rural;7;441.34;495.41;484.3;433.83;397.14;450.41
7769;SITIO DO QUINTO;BA;Estadual;Urbana;80;468.29;499.17;453.52;438.49;392.5;450.39
7770;CURVELO;MG;Estadual;Rural;8;475.49;511.65;462.9;404.42;397.5;450.39
7771;BARRA;BA;Estadual;Urbana;129;470.83;506.97;445.88;415.58;412.71;450.39
7772;NOVA UBIRATA;MT;Estadual;Urbana;42;456.69;508.11;464.23;426.2;396.67;450.38
7773;LUCRECIA;RN;Estadual;Urbana;11;461.63;509.65;446.96;431.57;401.82;450.33
7774;SORRISO;MT;Municipal;Rural;1;480.1;562.1;413.5;355.8;440.0;450.3
7775;ITAPEBI;BA;Estadual;Urbana;19;472.34;519.71;450.14;423.99;385.26;450.29
7776;SANTALUZ;BA;Municipal;Rural;2;469.55;480.2;435.1;416.5;450.0;450.27
7777;CAREIRO;AM;Estadual;Rural;54;459.36;488.88;427.64;415.05;460.37;450.26
7778;SANHARO;PE;Municipal;Urbana;5;481.6;528.62;431.74;389.26;420.0;450.24
7779;ALVORADA DO NORTE;GO;Estadual;Urbana;64;481.04;506.83;445.79;421.88;395.62;450.23
7780;TUPIRAMA;TO;Estadual;Urbana;9;470.08;531.12;469.49;449.34;331.11;450.23
7781;MANAUS;AM;Estadual;Rural;7;465.76;481.49;461.71;393.53;448.57;450.21
7782;CAPIM;PB;Municipal;Urbana;23;480.4;522.46;456.96;412.83;378.26;450.18
7783;RIO BRANCO DO IVAI;PR;Estadual;Urbana;16;466.4;501.36;448.54;408.24;426.25;450.16
7784;AUGUSTINOPOLIS;TO;Estadual;Urbana;71;478.66;501.27;454.16;426.28;390.42;450.16
7785;CACAULANDIA;RO;Estadual;Urbana;21;475.47;524.59;450.25;417.57;382.86;450.15
7786;GIRAU DO PONCIANO;AL;Estadual;Urbana;118;461.4;507.23;441.36;419.23;421.53;450.15
7787;CARRAPATEIRA;PB;Estadual;Urbana;21;457.1;500.14;447.24;420.5;425.71;450.14
7788;RIACHO DOS MACHADOS;MG;Estadual;Urbana;44;467.2;510.08;442.97;451.2;379.09;450.11
7789;CRUZEIRO DO SUL;AC;Municipal;Rural;2;493.85;526.8;491.25;408.6;330.0;450.1
7790;IGARACU DO TIETE;SP;Privada;Urbana;10;459.36;519.4;461.88;387.83;422.0;450.09
7791;RIO VERDE;GO;Federal;Rural;2;417.7;529.65;423.8;459.3;420.0;450.09
7792;ITAJU DO COLONIA;BA;Estadual;Urbana;14;482.91;513.04;448.31;417.55;388.57;450.08
7793;MULUNGU DO MORRO;BA;Estadual;Urbana;39;465.67;500.75;438.77;434.42;410.77;450.07
7794;GARRAFAO DO NORTE;PA;Estadual;Urbana;50;454.85;507.65;433.24;428.91;425.6;450.05
7795;LAGOA DE ITAENGA;PE;Estadual;Urbana;138;469.2;504.47;447.06;428.23;401.3;450.05
7796;SAO RAIMUNDO DAS MANGABEIRAS;MA;Estadual;Urbana;84;465.66;500.31;437.47;422.71;424.05;450.04
7797;NOVO SANTO ANTONIO;MT;Estadual;Urbana;6;464.33;511.8;435.73;434.9;403.33;450.02
7798;TABATINGA;AM;Estadual;Urbana;195;467.89;502.72;443.71;408.51;427.28;450.02
7799;CATURAMA;BA;Estadual;Urbana;36;455.33;493.04;441.22;418.79;441.67;450.01
7800;MONTE HOREBE;PB;Estadual;Urbana;19;436.49;489.71;439.22;444.56;440.0;450.0
7801;BREJOES;BA;Estadual;Rural;31;467.93;519.95;461.38;399.38;401.29;449.99
7802;MARCOS PARENTE;PI;Estadual;Urbana;27;464.34;487.4;441.78;432.7;423.7;449.98
7803;FRANCISCO MACEDO;PI;Estadual;Urbana;6;464.82;467.92;454.25;439.48;423.33;449.96
7804;JABORANDI;BA;Estadual;Urbana;35;469.54;508.4;447.39;414.14;410.29;449.95
7805;NOVA AURORA;GO;Estadual;Urbana;8;459.84;490.91;458.5;447.92;392.5;449.94
7806;ARAPUA;PR;Estadual;Rural;6;462.52;514.18;439.3;423.53;410.0;449.91
7807;PORTO DE MOZ;PA;Estadual;Urbana;65;461.39;512.11;440.07;421.07;414.77;449.88
7808;AGUA FRIA;BA;Estadual;Urbana;67;470.17;506.05;441.66;420.95;410.45;449.86
7809;CHA GRANDE;PE;Estadual;Urbana;65;489.76;500.53;441.1;406.17;411.69;449.85
7810;FILADELFIA;BA;Estadual;Urbana;66;464.69;493.17;457.08;415.14;419.09;449.83
7811;MARITUBA;PA;Municipal;Urbana;11;463.56;490.9;438.89;424.88;430.91;449.83
7812;PARICONHA;AL;Estadual;Rural;3;452.17;499.83;434.43;416.07;446.67;449.83
7813;CRICIUMA;SC;Municipal;Urbana;1;444.5;377.2;459.4;508.0;460.0;449.82
7814;HOLAMBRA;SP;Municipal;Urbana;1;481.9;579.7;483.2;424.2;280.0;449.8
7815;TEREZOPOLIS DE GOIAS;GO;Estadual;Urbana;25;469.99;499.68;448.1;450.34;380.8;449.78
7816;PASSA E FICA;RN;Estadual;Urbana;67;462.32;497.58;444.54;435.52;408.96;449.78
7817;AFONSO BEZERRA;RN;Estadual;Urbana;34;463.04;497.66;440.81;446.65;400.59;449.75
7818;CATURITE;PB;Estadual;Urbana;32;465.25;504.9;449.76;428.74;400.0;449.73
7819;CAJUEIRO DA PRAIA;PI;Estadual;Urbana;33;464.35;506.6;442.65;408.85;426.06;449.7
7820;ITAPIUNA;CE;Estadual;Urbana;135;470.33;510.16;455.09;416.99;395.85;449.69
7821;ITAPICURU;BA;Estadual;Urbana;35;469.76;497.33;462.37;427.46;391.43;449.67
7822;NAZARE;BA;Estadual;Urbana;83;469.38;502.49;452.81;420.95;402.65;449.66
7823;LAJEDINHO;BA;Estadual;Urbana;16;473.29;480.05;438.18;402.89;453.75;449.63
7824;CRISOPOLIS;BA;Estadual;Urbana;84;456.87;500.87;451.2;420.34;418.81;449.62
7825;GUARARA;MG;Municipal;Urbana;1;485.6;536.6;397.5;448.4;380.0;449.62
7826;PARANHOS;MS;Estadual;Urbana;45;462.96;499.22;463.67;435.15;387.11;449.62
7827;DIAMANTE;PB;Estadual;Urbana;52;466.25;500.06;441.94;419.84;420.0;449.62
7828;CHA PRETA;AL;Estadual;Urbana;48;461.3;498.99;433.3;401.43;452.92;449.59
7829;QUEIROZ;SP;Estadual;Urbana;8;457.5;526.41;446.31;377.69;440.0;449.58
7830;LAGOA DA CONFUSAO;TO;Estadual;Urbana;36;456.14;506.35;447.27;419.26;418.89;449.58
7831;FEIRA NOVA DO MARANHAO;MA;Estadual;Urbana;18;474.52;509.17;443.63;422.67;397.78;449.56
7832;INHACORA;RS;Estadual;Urbana;3;461.1;463.93;421.77;447.67;453.33;449.56
7833;MATINA;BA;Estadual;Urbana;53;470.24;500.89;450.78;401.59;424.15;449.53
7834;SERRA DOURADA;BA;Estadual;Urbana;97;471.26;499.13;450.7;424.66;401.86;449.52
7835;ALTO SANTO;CE;Estadual;Urbana;94;473.51;494.62;445.14;421.11;413.19;449.51
7836;GRAVATA;PE;Municipal;Rural;3;486.13;494.73;465.5;414.5;386.67;449.51
7837;RUY BARBOSA;BA;Estadual;Urbana;86;467.22;503.11;445.73;419.71;411.63;449.48
7838;VARZEA NOVA;BA;Estadual;Urbana;51;475.45;503.43;446.15;408.22;414.12;449.47
7839;AGUA PRETA;PE;Estadual;Rural;14;478.49;491.33;433.74;395.24;448.57;449.47
7840;TERRA ALTA;PA;Estadual;Urbana;28;477.06;501.8;460.32;414.61;393.57;449.47
