POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;VICOSA;MG;Federal;Urbana;159;619.72;696.47;675.43;777.83;816.51;717.19
2;ANGRA DOS REIS;RJ;Federal;Urbana;55;602.75;675.31;643.47;787.44;673.45;676.48
3;SAO PAULO;SP;Federal;Urbana;225;617.15;669.29;650.13;756.03;683.47;675.21
4;VITORIA;ES;Federal;Urbana;121;609.56;659.12;650.67;767.53;668.1;671.0
5;CRATEUS;CE;Federal;Urbana;1;654.0;613.8;645.3;739.9;680.0;666.6
6;TIMOTEO;MG;Federal;Urbana;75;604.68;661.14;634.05;733.06;696.27;665.84
7;BELO HORIZONTE;MG;Federal;Urbana;823;607.91;663.18;631.96;714.94;705.0;664.6
8;DIVINOPOLIS;MG;Federal;Urbana;98;605.74;661.05;618.88;711.22;722.04;663.79
9;COLATINA;ES;Federal;Urbana;110;607.07;662.64;618.77;713.84;691.64;658.79
10;CARIACICA;ES;Federal;Urbana;63;607.24;656.39;622.25;719.04;678.41;656.67
11;NITEROI;RJ;Federal;Urbana;201;589.59;648.51;620.71;678.73;739.3;655.37
12;NOVA PRATA;RS;Privada;Urbana;12;600.94;642.66;600.49;707.76;723.33;655.04
13;CASSIA;MG;Privada;Urbana;27;595.95;642.37;625.29;691.31;716.3;654.24
14;BADY BASSITT;SP;Privada;Urbana;16;592.28;656.37;595.99;692.36;732.5;653.9
15;CURITIBA;PR;Federal;Urbana;550;607.45;649.67;616.49;697.51;697.84;653.79
16;SANTA BARBARA;BA;Privada;Urbana;4;609.78;635.92;596.2;675.6;750.0;653.5
17;UBA;MG;Privada;Urbana;175;593.61;646.43;610.88;677.42;734.74;652.61
18;PASSA QUATRO;MG;Municipal;Urbana;1;618.5;635.4;619.7;747.7;640.0;652.26
19;DORES DE CAMPOS;MG;Privada;Urbana;5;612.14;643.08;589.74;646.42;756.0;649.48
20;VALINHOS;SP;Privada;Urbana;508;599.64;645.42;616.39;674.21;696.96;646.52
21;SABINOPOLIS;MG;Privada;Urbana;18;589.58;638.43;599.58;659.92;744.44;646.39
22;SAO CRISTOVAO;SE;Federal;Urbana;58;583.97;656.27;597.59;659.53;730.69;645.61
23;VOLTA REDONDA;RJ;Federal;Urbana;53;593.81;648.43;611.39;700.27;672.45;645.27
24;PATO BRANCO;PR;Federal;Urbana;26;605.2;650.7;595.37;675.46;696.92;644.73
25;CABO FRIO;RJ;Federal;Rural;50;607.03;658.51;605.96;668.17;678.0;643.54
26;MONTE SANTO DE MINAS;MG;Privada;Urbana;10;589.85;625.35;581.42;630.18;790.0;643.36
27;MAIRINQUE;SP;Privada;Urbana;10;613.81;654.42;618.66;664.07;664.0;642.99
28;CACHOEIRO DE ITAPEMIRIM;ES;Federal;Rural;56;594.43;645.04;619.2;673.6;681.07;642.67
29;CONTAGEM;MG;Federal;Urbana;74;599.85;650.06;616.08;645.14;700.81;642.39
30;FELIZ;RS;Federal;Rural;14;595.01;634.75;596.84;650.86;734.29;642.35
31;VARGINHA;MG;Federal;Urbana;90;585.38;649.23;592.96;656.36;727.33;642.25
32;BARBACENA;MG;Federal;Urbana;315;596.68;641.32;601.88;712.92;655.17;641.59
33;MEDIANEIRA;PR;Federal;Urbana;66;597.47;644.33;610.09;669.48;685.15;641.3
34;POMERODE;SC;Privada;Urbana;33;592.08;643.04;608.92;690.15;664.85;639.81
35;PACAJUS;CE;Privada;Urbana;60;589.44;629.83;583.92;630.28;762.67;639.23
36;CONGONHAS;MG;Federal;Urbana;68;586.88;639.07;597.5;681.34;690.59;639.08
37;DUQUE DE CAXIAS;RJ;Federal;Urbana;192;583.32;640.41;594.24;658.51;714.58;638.21
38;RIO DE JANEIRO;RJ;Federal;Urbana;2325;593.1;644.23;595.95;657.89;699.55;638.14
39;NOVA IGUACU;RJ;Federal;Urbana;112;597.76;641.75;590.21;652.95;707.5;638.04
40;SANTA MARIA;RS;Federal;Urbana;204;599.1;643.49;607.5;672.74;663.73;637.31
41;NILOPOLIS;RJ;Federal;Urbana;124;586.42;630.81;618.25;665.71;679.35;636.11
42;JUNQUEIROPOLIS;SP;Privada;Urbana;21;581.9;628.68;589.44;668.58;711.43;636.0
43;CUBATAO;SP;Federal;Urbana;94;593.53;635.44;599.68;671.84;678.7;635.84
44;RECIFE;PE;Federal;Urbana;472;589.0;635.37;592.92;663.24;694.77;635.06
45;LORENA;SP;Estadual;Rural;36;578.4;620.75;598.68;675.55;698.33;634.34
46;DIAMANTINA;MG;Privada;Urbana;56;585.35;631.6;593.07;652.28;707.5;633.96
47;IPATINGA;MG;Privada;Urbana;559;579.39;635.22;599.38;656.36;698.25;633.72
48;ARROIO DO MEIO;RS;Privada;Urbana;17;585.56;629.9;597.18;658.45;694.12;633.04
49;POCO FUNDO;MG;Privada;Urbana;8;576.5;636.01;583.54;591.0;777.5;632.91
50;RIO GRANDE;RS;Federal;Urbana;102;570.45;618.26;577.14;656.4;738.43;632.14
51;SAO MATEUS;ES;Federal;Urbana;60;590.42;642.63;589.18;669.14;669.33;632.14
52;BRAGANCA PAULISTA;SP;Privada;Rural;25;591.9;643.47;590.66;634.1;698.4;631.71
53;SAO ROQUE DE MINAS;MG;Privada;Urbana;7;571.81;629.14;617.91;647.76;691.43;631.61
54;SALVADOR;BA;Federal;Urbana;318;592.05;643.5;598.98;642.49;680.82;631.57
55;ERVALIA;MG;Privada;Urbana;8;574.83;654.08;599.15;661.81;665.0;630.97
56;CORNELIO PROCOPIO;PR;Federal;Urbana;58;585.27;631.51;595.73;675.92;664.83;630.65
57;ARACRUZ;ES;Federal;Urbana;105;585.17;638.5;605.69;676.55;647.05;630.59
58;CURVELO;MG;Federal;Urbana;56;587.12;633.74;603.0;676.92;650.71;630.3
59;TIMOTEO;MG;Privada;Urbana;144;580.6;637.04;590.15;638.28;698.89;628.99
60;NATAL;RN;Federal;Urbana;373;590.37;635.68;585.23;651.06;681.88;628.84
61;GUAXUPE;MG;Privada;Urbana;93;585.31;636.87;601.65;632.87;686.96;628.73
62;AREADO;MG;Privada;Urbana;28;590.06;633.46;606.16;609.97;703.57;628.64
63;CAETE;MG;Privada;Urbana;24;598.5;636.93;615.81;647.95;643.33;628.51
64;CAUCAIA;CE;Federal;Urbana;1;624.0;684.7;631.4;599.8;600.0;627.98
65;BELO HORIZONTE;MG;Privada;Urbana;6426;588.99;635.33;594.68;648.13;672.66;627.96
66;NOVA VENECIA;ES;Federal;Urbana;52;588.03;634.81;588.37;687.71;640.0;627.78
67;GUARAPARI;ES;Federal;Urbana;71;596.42;634.58;594.12;653.51;659.15;627.56
68;FORTALEZA;CE;Federal;Urbana;305;588.27;634.06;585.32;638.56;691.48;627.54
69;NOVA LIMA;MG;Privada;Urbana;173;589.76;636.78;591.69;638.92;679.08;627.24
70;JUIZ DE FORA;MG;Federal;Urbana;340;583.31;636.48;594.18;651.77;670.47;627.24
71;ITAPIRANGA;SC;Privada;Urbana;19;566.39;608.77;603.25;638.76;718.95;627.22
72;PONTA GROSSA;PR;Federal;Urbana;65;605.36;642.97;597.42;657.69;631.69;627.03
73;CAMPO GRANDE;MS;Federal;Urbana;187;580.14;625.62;590.94;643.81;694.44;626.99
74;JUIZ DE FORA;MG;Privada;Urbana;1514;583.65;634.47;585.87;636.86;693.77;626.93
75;RAUL SOARES;MG;Privada;Urbana;25;568.79;625.94;573.86;649.62;716.0;626.84
76;MACAE;RJ;Federal;Urbana;106;586.89;637.74;596.34;651.71;660.19;626.57
77;ARAXA;MG;Federal;Urbana;76;575.36;622.9;580.9;656.22;696.58;626.39
78;VARGINHA;MG;Privada;Urbana;310;585.14;631.18;582.09;631.12;701.98;626.3
79;SETE LAGOAS;MG;Privada;Urbana;429;585.44;630.17;582.79;627.67;704.9;626.19
80;ARACUAI;MG;Privada;Urbana;11;585.09;653.6;570.6;657.13;663.64;626.01
81;ITANHANDU;MG;Privada;Urbana;21;594.24;651.55;597.26;615.99;670.48;625.9
82;SEROPEDICA;RJ;Federal;Urbana;151;601.82;638.09;584.71;614.28;689.93;625.77
83;VERA CRUZ;BA;Privada;Urbana;4;589.98;640.3;568.67;559.9;770.0;625.77
84;CAMACARI;BA;Federal;Urbana;23;604.76;643.23;578.96;597.39;703.48;625.56
85;VITORIA;ES;Privada;Urbana;1588;590.16;636.23;597.06;651.46;651.22;625.23
86;PATY DO ALFERES;RJ;Privada;Urbana;12;614.82;633.71;577.28;592.62;706.67;625.02
87;VENDA NOVA DO IMIGRANTE;ES;Privada;Urbana;11;583.39;640.13;608.65;641.81;647.27;624.25
88;JUAZEIRO DO NORTE;CE;Federal;Urbana;45;574.52;632.18;584.5;636.26;691.11;623.71
89;DIVINOPOLIS;MG;Privada;Urbana;294;579.71;632.57;583.03;647.4;675.44;623.63
90;LINHARES;ES;Federal;Urbana;90;581.96;635.05;589.93;654.69;654.67;623.26
91;TRES DE MAIO;RS;Privada;Urbana;36;583.16;636.07;589.54;627.99;679.44;623.24
92;BAMBUI;MG;Privada;Urbana;29;574.67;643.0;596.61;627.77;673.79;623.17
93;AGUAS DE LINDOIA;SP;Privada;Urbana;12;583.38;643.07;545.66;606.82;736.67;623.12
94;SACRAMENTO;MG;Privada;Urbana;23;573.43;640.61;593.08;624.13;683.48;622.95
95;HOLAMBRA;SP;Privada;Urbana;47;573.02;626.41;594.31;652.21;667.23;622.64
96;GOVERNADOR VALADARES;MG;Federal;Urbana;72;575.42;638.72;581.7;638.62;676.11;622.11
97;CAMPO MOURAO;PR;Federal;Urbana;34;588.85;641.69;591.33;645.31;642.35;621.9
98;SANTA CRUZ DAS PALMEIRAS;SP;Privada;Urbana;50;582.85;620.83;606.22;651.3;647.6;621.76
99;CAMAQUA;RS;Federal;Urbana;58;584.08;632.84;582.79;602.08;706.9;621.74
100;ITABIRA;MG;Privada;Urbana;133;575.74;627.62;583.72;638.26;682.26;621.52
101;SAO JOAO DEL REI;MG;Privada;Urbana;283;572.55;622.37;570.99;626.57;715.12;621.52
102;PEDRO LEOPOLDO;MG;Privada;Urbana;108;585.93;629.32;586.87;630.41;670.56;620.62
103;ITABIRITO;MG;Privada;Urbana;22;574.19;626.17;574.84;634.13;693.64;620.59
104;JOINVILLE;SC;Federal;Urbana;39;595.37;627.54;583.0;650.33;645.64;620.38
105;NOVO MACHADO;RS;Municipal;Rural;1;560.6;617.9;588.5;674.7;660.0;620.34
106;FLORESTAL;MG;Federal;Rural;45;579.96;635.67;594.92;634.65;653.78;619.8
107;ARRAIAL DO CABO;RJ;Federal;Urbana;22;578.32;630.71;568.05;626.19;693.64;619.38
108;PARANAPANEMA;SP;Privada;Urbana;13;578.92;645.82;605.77;613.47;652.31;619.26
109;SANTO ANTONIO DE PADUA;RJ;Privada;Urbana;36;577.51;632.43;575.25;639.35;671.67;619.24
110;POUSO ALEGRE;MG;Privada;Urbana;329;584.69;627.06;588.39;629.54;664.68;618.87
111;VALENCA;RJ;Privada;Urbana;58;585.16;631.59;578.7;631.55;667.24;618.85
112;UBERLANDIA;MG;Privada;Urbana;1236;580.69;627.44;583.69;615.51;686.35;618.74
113;FORMIGA;MG;Privada;Urbana;119;576.91;632.56;592.68;636.45;650.42;617.8
114;BARUERI;SP;Privada;Urbana;220;592.34;626.78;593.35;654.33;621.45;617.65
115;GUANHAES;MG;Privada;Urbana;32;586.99;626.76;578.23;624.3;671.25;617.5
116;TERRA RICA;PR;Privada;Urbana;12;595.98;612.48;557.78;619.26;701.67;617.43
117;POCOS DE CALDAS;MG;Privada;Urbana;333;582.39;625.39;584.18;633.16;661.12;617.25
118;PARACATU;MG;Municipal;Rural;1;591.7;608.6;523.9;580.6;780.0;616.96
119;UBERABA;MG;Federal;Urbana;78;584.36;631.09;575.73;618.14;674.36;616.74
120;SAO JOSE DO RIO PARDO;SP;Privada;Urbana;95;587.37;625.12;591.29;629.19;650.74;616.74
121;LAGOA SANTA;MG;Privada;Urbana;64;592.6;645.75;592.38;630.22;622.03;616.59
122;DORES DO INDAIA;MG;Privada;Urbana;10;583.09;623.59;611.2;614.54;650.0;616.48
123;CAMPINA GRANDE DO SUL;PR;Privada;Urbana;2;541.15;617.6;599.55;652.45;670.0;616.15
124;PATOS DE MINAS;MG;Privada;Urbana;280;579.25;619.17;582.0;598.86;701.09;616.08
125;UBERABA;MG;Privada;Urbana;605;582.47;626.59;582.14;613.87;674.91;616.0
126;CERRO LARGO;RS;Privada;Urbana;35;595.16;627.67;587.03;618.94;650.86;615.93
127;CAMPO BELO;MG;Privada;Urbana;86;575.45;639.45;595.16;642.23;625.58;615.58
128;SAO JOAO DA BOA VISTA;SP;Federal;Urbana;49;586.17;623.87;574.74;621.74;671.02;615.51
129;NOVA FRIBURGO;RJ;Privada;Urbana;468;585.82;627.03;570.32;612.59;681.23;615.4
130;AMPARO;SP;Privada;Urbana;144;578.24;619.26;580.5;625.31;673.33;615.33
131;ABAETE;MG;Privada;Urbana;29;578.31;628.78;566.16;637.55;665.52;615.26
132;MOSSORO;RN;Federal;Urbana;143;576.69;629.11;568.14;645.0;657.2;615.23
133;BOM DESPACHO;MG;Privada;Urbana;66;574.71;629.03;590.5;617.81;662.73;614.96
134;SAO SEBASTIAO DO PARAISO;MG;Privada;Urbana;63;581.02;624.49;575.12;608.88;685.08;614.92
135;ITAPECERICA;MG;Privada;Urbana;17;583.39;627.08;594.07;620.21;649.41;614.83
136;TERESOPOLIS;RJ;Privada;Urbana;215;577.66;625.76;577.41;623.46;669.7;614.8
137;CARANGOLA;MG;Privada;Urbana;58;576.66;633.04;564.61;582.96;716.55;614.77
138;ESMERALDAS;MG;Privada;Urbana;7;589.71;635.23;590.07;584.29;674.29;614.72
139;SAO LOURENCO;MG;Privada;Urbana;142;588.91;626.58;585.08;619.78;652.82;614.63
140;PIRAPORA;MG;Federal;Urbana;33;571.23;640.62;577.63;604.16;677.58;614.24
141;IPUIUNA;MG;Privada;Urbana;7;567.2;604.01;577.33;584.53;737.14;614.04
142;ITAPERUNA;RJ;Federal;Urbana;59;581.48;640.12;568.14;604.65;675.25;613.93
143;MATOZINHOS;MG;Privada;Urbana;10;560.91;630.49;580.68;635.15;658.0;613.05
144;IPIRANGA;PR;Privada;Urbana;15;580.94;623.3;583.75;616.91;658.67;612.71
145;NITEROI;RJ;Privada;Urbana;2377;578.53;624.36;572.13;606.74;681.02;612.56
146;LAMBARI;MG;Privada;Urbana;10;584.67;623.49;567.98;609.59;677.0;612.55
147;GENERAL SALGADO;SP;Privada;Urbana;10;584.0;624.15;580.12;600.52;672.0;612.16
148;JOAO MONLEVADE;MG;Privada;Urbana;121;579.94;629.71;575.57;613.11;660.62;611.79
149;PARIPIRANGA;BA;Privada;Urbana;15;565.57;626.27;562.63;589.75;713.33;611.51
150;TRES PONTAS;MG;Privada;Urbana;51;589.29;625.27;588.09;608.29;645.49;611.29
151;VITORIA DA CONQUISTA;BA;Federal;Urbana;111;583.35;632.62;566.85;583.83;689.73;611.28
152;CHAPECO;SC;Federal;Urbana;13;570.37;626.65;575.06;619.16;664.62;611.17
153;JARAGUA DO SUL;SC;Federal;Urbana;27;564.94;608.89;594.84;624.17;662.22;611.01
154;VICOSA;MG;Privada;Urbana;287;562.78;618.65;573.39;613.37;686.48;610.93
155;ITAUNA;MG;Privada;Urbana;152;584.54;620.82;587.98;637.73;622.89;610.79
156;PORTO UNIAO;SC;Municipal;Urbana;1;601.6;607.7;501.9;622.2;720.0;610.68
157;PALOTINA;PR;Privada;Urbana;31;574.62;622.62;581.17;595.94;678.71;610.61
158;ESTRELA;RS;Privada;Urbana;63;580.72;613.67;582.57;627.99;647.62;610.51
159;SAO JOSE DOS CAMPOS;SP;Privada;Urbana;2178;578.19;621.27;579.04;622.32;651.65;610.49
160;NOVA ERA;MG;Privada;Urbana;6;554.48;632.28;526.65;675.67;663.33;610.48
161;BRAGANCA PAULISTA;SP;Federal;Urbana;101;574.24;610.91;586.9;638.19;641.58;610.37
162;IMPERATRIZ;MA;Federal;Urbana;118;570.64;633.83;571.34;616.35;659.44;610.32
163;IBIRAMA;SC;Privada;Urbana;17;591.26;621.95;572.32;601.29;663.53;610.07
164;ARACAJU;SE;Federal;Urbana;122;569.29;629.87;577.09;606.59;666.89;609.95
165;ITUMBIARA;GO;Federal;Urbana;62;570.79;622.47;583.1;618.69;653.87;609.78
166;BARRA DO PIRAI;RJ;Privada;Urbana;133;580.5;627.1;571.52;586.03;683.61;609.75
167;TAQUARITINGA;SP;Privada;Urbana;65;570.51;612.76;574.75;611.15;678.77;609.59
168;GOIANIA;GO;Federal;Urbana;247;583.74;627.45;564.21;595.48;676.84;609.55
169;CARLOS CHAGAS;MG;Privada;Urbana;10;574.71;616.93;555.36;602.59;698.0;609.52
170;COROMANDEL;MG;Privada;Urbana;21;579.73;621.77;564.97;576.24;704.76;609.49
171;MONTES CLAROS;MG;Federal;Urbana;41;578.48;617.11;560.95;556.26;734.63;609.49
172;TRES CORACOES;MG;Privada;Urbana;82;576.19;625.17;576.31;611.42;656.34;609.09
173;MOJI MIRIM;SP;Privada;Urbana;64;579.03;621.43;577.04;615.01;652.5;609.0
174;SAO MARCOS;RS;Privada;Urbana;14;582.01;622.41;563.28;574.03;702.86;608.92
175;LAJEADO;RS;Privada;Urbana;135;582.78;623.95;583.05;636.67;617.93;608.87
176;RIBEIRAO PRETO;SP;Privada;Urbana;1953;579.19;619.34;583.5;610.37;651.92;608.86
177;RESPLENDOR;MG;Privada;Urbana;10;570.93;641.21;566.3;608.88;656.0;608.66
178;BRASILIA;DF;Federal;Urbana;438;580.34;623.42;578.13;635.38;625.53;608.56
179;PIRIPIRI;PI;Privada;Urbana;38;581.3;610.51;570.63;588.11;691.58;608.43
180;IPAMERI;GO;Privada;Urbana;23;572.38;614.43;576.05;593.8;685.22;608.38
181;TIMBO;SC;Privada;Urbana;47;569.94;621.5;582.83;630.09;635.32;607.94
182;GOVERNADOR VALADARES;MG;Privada;Urbana;468;571.13;620.11;569.03;601.95;677.41;607.92
183;MONTE SIAO;MG;Privada;Urbana;28;562.45;610.49;564.9;612.94;688.57;607.87
184;PINHALZINHO;SC;Privada;Urbana;11;575.91;594.81;572.68;606.76;689.09;607.85
185;SALTO;SP;Federal;Urbana;48;567.58;620.9;563.25;620.75;666.67;607.83
186;BASTOS;SP;Privada;Urbana;21;560.21;598.26;580.49;644.46;655.24;607.73
187;CASTRO;PR;Privada;Rural;49;589.5;622.89;591.81;653.63;580.41;607.65
188;CAMBUI;MG;Privada;Urbana;31;585.57;630.84;585.94;589.47;645.81;607.53
189;FOZ DO IGUACU;PR;Federal;Urbana;61;574.06;627.01;577.16;632.3;626.89;607.48
190;PINHEIRAL;RJ;Federal;Urbana;83;574.14;633.64;574.47;587.67;667.47;607.48
191;BICAS;MG;Privada;Urbana;34;565.89;613.46;564.79;622.48;670.0;607.32
192;CARLOS BARBOSA;RS;Privada;Urbana;18;577.74;620.87;556.22;653.54;625.56;606.79
193;PORTAO;RS;Privada;Urbana;27;587.18;613.79;545.54;593.25;693.33;606.62
194;MURIAE;MG;Federal;Urbana;33;577.41;623.2;580.24;596.26;655.15;606.45
195;MIRACEMA;RJ;Privada;Urbana;17;573.56;615.55;569.69;599.26;674.12;606.44
196;VITORIA DA CONQUISTA;BA;Privada;Urbana;566;577.06;620.7;570.72;593.18;670.14;606.36
197;CARANDAI;MG;Privada;Urbana;16;560.24;611.66;574.01;649.92;635.0;606.17
198;SANTOS DUMONT;MG;Privada;Urbana;28;583.51;620.81;564.24;622.87;639.29;606.14
199;PORTO ALEGRE;RS;Federal;Urbana;252;583.64;628.22;574.24;625.95;617.94;606.0
200;SANTO AUGUSTO;RS;Privada;Urbana;8;581.84;601.88;567.66;548.02;730.0;605.88
201;ITAPORANGA;SP;Privada;Urbana;18;572.01;620.38;565.0;602.43;668.89;605.74
202;FLORIANOPOLIS;SC;Federal;Urbana;242;578.84;624.16;575.7;622.35;625.54;605.32
203;BOA ESPERANCA;MG;Privada;Urbana;55;575.2;629.55;573.25;618.1;630.18;605.26
204;ATIBAIA;SP;Privada;Urbana;264;575.2;615.98;574.29;621.85;638.81;605.22
205;PACAEMBU;SP;Privada;Urbana;15;573.85;621.07;578.61;557.73;694.67;605.19
206;ARTUR NOGUEIRA;SP;Privada;Urbana;36;575.15;624.78;573.17;625.94;626.11;605.03
207;VIDEIRA;SC;Federal;Urbana;86;574.3;627.9;574.13;627.41;618.37;604.42
208;PINDAMONHANGABA;SP;Privada;Urbana;168;572.69;617.35;568.02;601.49;661.7;604.25
209;GUARAI;TO;Privada;Urbana;17;579.38;620.94;568.71;569.43;682.35;604.16
210;PALMEIRA DAS MISSOES;RS;Privada;Urbana;19;584.95;613.1;553.11;557.92;711.58;604.13
211;SANTA BARBARA;MG;Privada;Urbana;37;569.88;618.08;557.9;587.42;687.03;604.06
212;CONSELHEIRO LAFAIETE;MG;Privada;Urbana;155;575.06;614.33;565.18;613.44;652.13;604.03
213;IRECE;BA;Federal;Urbana;63;571.03;616.46;552.97;588.7;690.48;603.93
214;MOGI GUACU;SP;Privada;Urbana;181;577.63;618.27;575.25;603.6;644.31;603.81
215;MURIAE;MG;Privada;Urbana;145;574.56;620.02;569.14;600.9;654.0;603.73
216;SANTO AMARO;BA;Federal;Urbana;23;579.94;621.25;552.91;589.76;674.78;603.73
217;PIRAPOZINHO;SP;Privada;Urbana;39;565.09;611.0;566.21;602.25;673.85;603.68
218;CANTAGALO;RJ;Privada;Urbana;12;608.95;632.54;538.91;537.74;700.0;603.63
219;QUIXERAMOBIM;CE;Privada;Urbana;33;572.88;605.52;557.02;584.23;698.18;603.57
220;MAJOR ISIDORO;AL;Privada;Urbana;1;542.5;510.4;562.8;582.0;820.0;603.54
221;ANDRADAS;MG;Privada;Urbana;74;568.41;614.52;582.24;596.66;655.41;603.45
222;ITUVERAVA;SP;Privada;Urbana;103;573.49;614.35;571.97;581.04;676.12;603.39
223;ITABERABA;BA;Privada;Urbana;51;588.46;627.49;564.28;571.01;665.49;603.35
224;COSMOPOLIS;SP;Privada;Urbana;32;585.58;615.93;575.84;627.81;610.0;603.03
225;BORDA DA MATA;MG;Privada;Urbana;14;565.41;629.01;556.97;629.4;634.29;603.02
226;TEOFILO OTONI;MG;Privada;Urbana;140;570.97;621.59;565.96;587.9;668.57;603.0
227;PRESIDENTE BERNARDES;SP;Privada;Urbana;20;581.56;621.33;575.44;585.34;651.0;602.93
228;BARROSO;MG;Privada;Urbana;17;580.72;613.36;570.59;552.27;697.65;602.92
229;PIEDADE;SP;Privada;Urbana;44;567.72;625.18;588.09;610.27;623.18;602.89
230;FRANCA;SP;Privada;Urbana;590;567.02;608.88;565.71;600.36;671.86;602.76
231;SAO CARLOS;SP;Privada;Urbana;658;574.98;613.23;575.24;600.08;650.24;602.76
232;LAVRAS;MG;Privada;Urbana;295;567.37;611.6;565.29;600.24;668.96;602.69
233;SAO JOSE DO RIO PRETO;SP;Privada;Urbana;1077;571.68;616.13;575.65;600.42;649.34;602.64
234;PIRANHAS;AL;Privada;Urbana;6;578.95;616.92;549.18;531.45;736.67;602.63
235;VENDA NOVA DO IMIGRANTE;ES;Federal;Urbana;111;571.71;618.15;573.65;619.16;630.45;602.62
236;MUZAMBINHO;MG;Privada;Urbana;38;570.75;614.69;564.96;597.59;664.21;602.44
237;MARACAI;SP;Privada;Urbana;12;570.76;608.96;542.54;612.28;676.67;602.24
238;PIRACICABA;SP;Privada;Urbana;847;576.91;613.5;570.28;609.74;639.52;601.99
239;GUAIRA;SP;Privada;Urbana;60;569.2;609.21;581.43;614.09;635.67;601.92
240;SANTA ROSA;RS;Federal;Urbana;51;572.49;620.99;567.03;603.17;645.88;601.91
241;JAGUARIUNA;SP;Privada;Urbana;69;587.66;626.48;578.05;611.3;605.51;601.8
242;CAETANOPOLIS;MG;Privada;Urbana;25;560.67;592.5;566.87;584.9;704.0;601.79
243;MANHUACU;MG;Privada;Urbana;115;559.1;615.5;561.68;605.83;666.61;601.74
244;ESPIGAO D OESTE;RO;Privada;Urbana;23;557.43;602.57;536.5;605.01;706.96;601.69
245;SANTA CRUZ DO RIO PARDO;SP;Privada;Urbana;87;579.56;626.96;565.42;583.52;652.18;601.53
246;ADAMANTINA;SP;Privada;Urbana;61;567.84;626.7;566.65;598.24;647.87;601.46
247;TAPEJARA;RS;Privada;Urbana;6;546.87;610.57;581.8;657.95;610.0;601.44
248;PARA DE MINAS;MG;Privada;Urbana;55;572.24;615.08;580.4;610.33;628.73;601.36
249;TOLEDO;PR;Federal;Urbana;3;591.2;617.5;554.0;617.27;626.67;601.33
250;ITATIBA;SP;Privada;Urbana;209;575.95;609.6;570.25;624.56;626.22;601.31
251;BARREIRAS;BA;Federal;Urbana;108;575.34;622.54;560.67;573.09;674.25;601.18
252;SIMOES FILHO;BA;Federal;Urbana;65;571.95;622.66;556.65;592.33;662.15;601.15
253;SAO GOTARDO;MG;Privada;Urbana;24;575.8;609.85;575.81;604.2;640.0;601.13
254;BLUMENAU;SC;Privada;Urbana;481;577.79;617.91;575.45;608.87;625.12;601.03
255;CONGONHAS;MG;Privada;Urbana;57;578.85;617.04;556.07;579.98;672.98;600.99
256;CAMPINAS;SP;Privada;Urbana;2469;574.59;615.81;570.28;603.31;640.8;600.96
257;NEPOMUCENO;MG;Federal;Urbana;50;557.19;617.02;558.6;596.01;675.6;600.88
258;OLIMPIA;SP;Privada;Urbana;43;576.63;619.91;563.42;594.59;648.84;600.68
259;RIBEIRAO BONITO;SP;Privada;Urbana;21;575.84;609.06;575.0;611.3;631.43;600.53
260;CURRAIS NOVOS;RN;Federal;Urbana;134;574.47;613.18;558.57;586.79;669.55;600.51
261;LAURO DE FREITAS;BA;Privada;Urbana;441;573.56;616.61;572.55;590.44;648.44;600.32
262;VASSOURAS;RJ;Privada;Urbana;73;575.83;607.16;555.68;597.85;664.93;600.29
263;OLIVEIRA;MG;Privada;Urbana;73;570.68;629.32;571.35;590.82;639.18;600.27
264;BENTO GONCALVES;RS;Federal;Urbana;74;585.57;623.82;570.35;617.58;602.97;600.06
265;CAMPO VERDE;MT;Privada;Urbana;47;566.55;613.62;567.18;598.77;654.04;600.03
266;TRES MARIAS;MG;Privada;Urbana;33;571.05;624.16;562.32;590.74;650.91;599.84
267;RESENDE;RJ;Privada;Urbana;307;569.75;614.85;561.45;608.19;644.82;599.81
268;SANTANA DE PARNAIBA;SP;Privada;Urbana;186;580.05;617.95;570.89;601.6;628.44;599.79
269;GUAPIMIRIM;RJ;Privada;Urbana;31;555.1;616.46;590.68;601.38;634.84;599.69
270;INDAIATUBA;SP;Privada;Urbana;458;575.87;618.27;571.51;603.92;628.6;599.64
271;PATROCINIO;MG;Privada;Urbana;147;565.87;609.64;562.37;578.78;680.82;599.5
272;SERAFINA CORREA;RS;Privada;Urbana;15;576.02;610.51;564.23;579.19;666.67;599.32
273;SAO JOSE;SC;Federal;Urbana;79;580.51;627.81;564.79;611.22;610.89;599.04
274;PELOTAS;RS;Federal;Urbana;184;573.91;613.56;559.71;603.35;643.04;598.72
275;CACHOEIRO DE ITAPEMIRIM;ES;Privada;Urbana;359;562.74;607.02;566.97;593.23;663.62;598.72
276;CRUZ DAS ALMAS;BA;Privada;Urbana;121;564.29;614.38;567.31;592.11;655.37;598.69
277;PRESIDENTE PRUDENTE;SP;Privada;Urbana;493;570.32;615.31;572.23;602.55;632.17;598.52
278;CAMPANHA;MG;Privada;Urbana;38;568.49;620.94;555.18;581.61;665.79;598.4
279;PARACAMBI;RJ;Federal;Urbana;96;568.62;609.49;554.56;598.66;660.0;598.27
280;BELEM;PA;Federal;Urbana;454;571.52;621.54;558.65;571.13;668.24;598.22
