POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
74;São Gonçalo do Sapucaí;MG;Privada;30;566.83;600.32;567.92;684.04;807.33;645.29
75;Portão;RS;Privada;26;597.32;618.71;592.53;693.52;723.08;645.03
76;Osório;RS;Privada;30;563.41;594.36;563.22;641.89;860.67;644.71
77;Brazópolis;MG;Privada;15;572.76;637.82;566.77;668.23;774.67;644.05
78;Sarzedo;MG;Privada;2;594.9;623.15;591.2;708.25;700.0;643.5
79;Caetité;BA;Privada;53;570.53;602.74;549.55;637.08;856.98;643.38
80;Betim;MG;Federal;113;578.81;616.05;587.35;680.23;752.92;643.07
81;Limoeiro do Norte;CE;Privada;125;553.34;588.03;563.8;647.13;862.4;642.94
82;Janaúba;MG;Federal;49;573.51;605.35;559.56;664.9;809.8;642.62
83;Sarandi;RS;Privada;16;594.83;606.31;590.3;648.67;772.5;642.52
84;Ubá;MG;Privada;166;562.38;600.99;570.93;663.59;813.98;642.37
85;Ouro Branco;MG;Federal;104;579.35;618.32;559.55;671.85;780.0;641.81
86;São Leopoldo;RS;Privada;153;577.8;613.69;570.58;670.74;775.16;641.59
87;Pompéu;MG;Privada;9;548.24;603.2;547.48;643.58;862.22;640.94
88;Timóteo;MG;Privada;128;562.71;594.41;564.29;642.68;840.0;640.82
89;Divinópolis;MG;Privada;233;563.85;595.33;558.61;663.58;822.06;640.69
90;Volta Redonda;RJ;Federal;59;578.26;613.51;579.85;692.59;738.31;640.5
91;Pará de Minas;MG;Privada;87;561.92;584.54;564.2;660.17;830.34;640.24
92;Varginha;MG;Federal;89;573.03;608.97;556.72;669.57;791.91;640.04
93;Pinhalzinho;SC;Privada;18;560.82;605.63;558.52;661.21;813.33;639.9
94;Capelinha;MG;Privada;13;556.06;596.18;554.82;642.22;849.23;639.7
95;São Sebastião do Paraíso;MG;Privada;57;557.19;592.76;556.41;647.81;844.21;639.68
96;Valinhos;SP;Privada;376;580.32;607.55;591.29;677.21;741.91;639.66
97;Minaçu;GO;Privada;16;553.73;580.8;551.62;663.31;848.75;639.64
98;Monte Sião;MG;Privada;33;567.82;610.3;559.06;649.7;810.3;639.44
99;Arcos;MG;Privada;45;566.8;594.91;549.07;677.12;808.0;639.18
100;Nilópolis;RJ;Federal;102;579.71;619.39;589.19;667.93;739.02;639.05
101;Nova Friburgo;RJ;Federal;30;584.99;611.88;549.63;668.34;778.0;638.57
102;Porto União;SC;Privada;38;578.64;605.65;584.18;656.31;767.89;638.53
103;Mineiros;GO;Privada;47;561.49;594.49;564.36;641.69;830.21;638.45
104;Pato Branco;PR;Federal;25;574.07;625.58;560.71;670.22;761.6;638.43
105;Petrópolis;RJ;Federal;33;590.55;633.33;571.45;690.34;706.06;638.35
106;Curitiba;PR;Federal;271;584.22;614.88;585.06;681.07;726.05;638.26
107;Santa Teresa;ES;Privada;8;572.92;619.72;585.94;657.44;755.0;638.21
108;Mossoró;RN;Federal;147;577.44;605.53;561.3;655.42;791.29;638.19
109;Joinville;SC;Federal;81;588.41;620.8;579.37;687.25;712.35;637.64
110;São Félix de Balsas;MA;Estadual;1;508.6;543.2;462.2;734.1;940.0;637.62
111;Uberaba;MG;Privada;401;568.84;597.21;564.42;642.5;814.06;637.41
112;Aracruz;ES;Federal;71;573.78;618.64;574.31;665.85;753.8;637.28
113;Diamantina;MG;Privada;34;556.55;589.83;559.19;638.59;840.59;636.95
114;Viçosa;MG;Privada;187;558.77;588.35;565.17;644.91;825.88;636.62
115;Sapucaia;RJ;Privada;2;576.4;604.1;523.85;658.05;820.0;636.48
116;Muriaé;MG;Federal;91;566.29;597.68;564.23;658.77;795.38;636.47
117;Araxá;MG;Privada;78;562.78;594.76;558.18;640.51;825.9;636.43
118;Bocaina de Minas;MG;Estadual;2;596.0;667.2;575.85;682.95;660.0;636.4
119;Itapoá;SC;Privada;5;575.64;601.64;602.54;648.88;752.0;636.14
120;Canoas;RS;Federal;62;594.16;617.83;574.5;688.29;705.48;636.05
121;Carmo do Rio Claro;MG;Privada;24;557.38;588.32;556.8;644.18;833.33;636.0
122;Xaxim;SC;Privada;7;575.33;580.2;607.73;690.74;725.71;635.94
123;Piraju;SP;Privada;16;583.93;602.59;559.01;678.99;755.0;635.9
124;Campo Belo;MG;Privada;70;548.58;592.48;561.38;660.06;816.86;635.87
125;Raul Soares;MG;Privada;13;562.98;613.3;557.42;600.78;843.08;635.51
126;Vera Cruz;RS;Privada;25;579.9;596.48;562.02;650.32;788.8;635.5
127;Vitória;ES;Privada;952;564.79;592.05;567.63;643.29;809.18;635.39
128;Lagoa Vermelha;RS;Privada;25;576.82;599.87;551.1;648.96;799.2;635.19
129;Itaparica;BA;Privada;6;573.55;609.07;557.63;627.93;806.67;634.97
130;Jaguaruana;CE;Privada;10;565.37;613.16;570.62;639.59;786.0;634.95
131;Osório;RS;Federal;77;584.04;625.82;569.11;666.11;729.61;634.94
132;Uberlândia;MG;Privada;896;565.3;594.73;561.97;634.32;817.68;634.8
133;Poços de Caldas;MG;Privada;231;569.3;593.61;563.4;652.62;794.55;634.69
134;Sabará;MG;Federal;69;577.53;611.18;571.76;657.1;755.65;634.64
135;Bozano;RS;Estadual;3;499.07;624.3;581.13;635.33;833.33;634.63
136;Dom Pedro;MA;Privada;17;571.92;605.95;556.13;627.86;810.59;634.49
137;Timbó;SC;Privada;21;567.35;588.72;579.71;668.41;767.62;634.36
138;Lajeado;RS;Privada;132;566.51;600.43;571.36;653.45;779.85;634.32
139;Nova Venécia;ES;Federal;66;563.67;604.25;573.51;653.13;775.76;634.06
