POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;Viçosa;MG;Federal;158;647.49;714.84;679.37;790.51;891.65;744.77
2;Brazópolis;MG;Privada;9;650.64;710.22;646.61;732.48;815.56;711.1
3;Nova Prata;RS;Privada;13;649.18;681.38;631.01;702.81;860.0;704.88
4;Paranatinga;MT;Privada;2;609.3;681.35;634.55;785.95;770.0;696.23
5;Cachoeiro de Itapemirim;ES;Federal;53;623.68;675.4;650.39;735.68;795.09;696.05
6;Timóteo;MG;Federal;91;627.51;676.3;626.13;741.13;786.37;691.49
7;Angra dos Reis;RJ;Federal;48;633.12;687.05;637.22;773.59;714.17;689.03
8;Divinópolis;MG;Federal;87;618.48;656.41;602.29;726.34;835.63;687.83
9;Ipatinga;MG;Privada;433;608.25;665.73;625.49;712.09;816.95;685.7
10;Paty do Alferes;RJ;Privada;7;623.99;657.59;605.87;707.26;828.57;684.65
11;Belo Horizonte;MG;Federal;718;623.95;667.9;625.58;735.0;760.84;682.65
12;Guarapari;ES;Federal;81;617.1;667.04;614.58;726.14;767.41;678.45
13;São Gonçalo do Sapucaí;MG;Privada;36;607.23;663.05;593.15;700.41;823.89;677.55
14;Ubá;MG;Privada;171;599.25;659.72;616.58;707.56;800.94;676.81
15;São Mateus;ES;Federal;57;612.51;663.53;607.56;715.04;782.81;676.29
16;Patos de Minas;MG;Federal;59;616.22;657.76;596.2;682.09;827.8;676.01
17;Torres;RS;Privada;5;631.98;700.6;631.92;697.44;716.0;675.59
18;Cariacica;ES;Federal;184;616.15;664.92;609.02;722.06;765.43;675.52
19;Pinhalzinho;SC;Privada;9;619.14;650.68;616.83;705.09;771.11;672.57
20;Vitória;ES;Federal;221;610.94;659.56;620.09;720.66;750.32;672.31
21;Itapecerica;MG;Privada;12;600.93;647.27;586.53;726.73;795.0;671.29
22;Varginha;MG;Federal;91;619.76;664.91;606.66;718.49;746.37;671.24
23;São Manuel;SP;Privada;33;608.41;667.95;611.87;702.6;763.64;670.89
24;Muriaé;MG;Federal;68;598.81;655.4;608.83;694.01;792.94;670.0
25;Nova Lima;MG;Privada;220;617.88;665.18;612.2;697.6;755.09;669.59
26;Nova Friburgo;RJ;Federal;29;618.76;660.4;599.43;692.24;772.41;668.65
27;Vespasiano;MG;Privada;30;604.68;658.8;603.09;706.42;768.67;668.33
28;Bambuí;MG;Privada;18;595.31;671.11;624.67;683.76;766.67;668.3
29;Monte Sião;MG;Privada;22;621.29;656.55;609.08;659.55;794.55;668.2
30;Timóteo;MG;Privada;110;587.0;658.48;606.33;687.59;798.0;667.48
31;Pato Branco;PR;Federal;31;615.36;659.66;600.63;734.81;724.52;667.0
32;Aracruz;ES;Federal;106;601.06;654.56;607.55;697.06;770.75;666.2
33;Barroso;MG;Privada;13;587.82;652.55;580.38;692.85;816.92;666.1
34;Governador Valadares;MG;Federal;72;613.23;658.45;593.56;698.14;766.94;666.07
35;Holambra;SP;Privada;36;616.76;654.5;624.99;736.93;696.11;665.86
36;Carmópolis de Minas;MG;Privada;9;627.06;679.76;617.91;722.73;680.0;665.49
37;Teófilo Otoni;MG;Federal;26;604.11;659.48;571.7;681.77;806.92;664.8
38;Dores de Campos;MG;Privada;2;629.2;656.65;569.8;707.35;760.0;664.6
39;Caetité;BA;Privada;42;597.51;649.85;581.58;679.01;814.76;664.54
40;Carmo do Rio Claro;MG;Privada;32;602.67;644.42;594.69;690.95;789.38;664.42
