POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;Uru;SP;Estadual;1;678.1;729.5;598.3;779.1;920.0;741.0
2;Viçosa;MG;Federal;153;632.93;670.29;672.66;804.91;907.58;737.67
3;Tucunduva;RS;Estadual;2;648.95;666.6;653.7;759.6;930.0;731.77
4;Angra dos Reis;RJ;Federal;12;636.91;662.98;670.93;838.42;818.33;725.52
5;Várzea Alegre;CE;Privada;1;676.1;682.3;634.4;746.6;860.0;719.88
6;Guará;SP;Privada;2;627.1;655.75;647.85;743.0;900.0;714.74
7;São Desidério;BA;Municipal;1;622.6;718.6;581.5;706.6;920.0;709.86
8;Lajinha;MG;Privada;1;647.7;675.2;558.8;702.5;940.0;704.84
9;Arroio do Meio;RS;Privada;12;612.45;642.27;612.59;729.89;885.0;696.44
10;Palmeirópolis;TO;Privada;1;610.1;614.2;553.9;745.4;940.0;692.72
11;Itamogi;MG;Privada;3;606.03;635.53;598.67;715.17;893.33;689.75
12;Capelinha;MG;Privada;14;596.01;602.97;596.74;745.42;905.71;689.37
13;Sacramento;MG;Privada;11;587.15;615.85;608.55;752.0;872.73;687.25
14;Cássia;MG;Privada;2;609.4;598.4;561.35;765.2;900.0;686.87
15;São Roque de Minas;MG;Privada;8;590.16;623.76;618.55;704.69;892.5;685.93
16;Morretes;PR;Privada;8;606.44;652.99;627.67;736.1;795.0;683.64
17;Flora Rica;SP;Estadual;3;581.23;617.3;596.07;730.37;886.67;682.33
18;Olinda;PE;Federal;2;590.6;608.9;580.7;754.95;870.0;681.03
19;Vitória;ES;Federal;202;606.31;627.9;621.61;734.59;799.8;678.04
20;Ipatinga;MG;Privada;358;589.18;613.74;599.08;711.91;871.56;677.09
21;Pompéu;MG;Privada;6;594.52;609.75;587.62;706.07;886.67;676.92
22;Vila Velha;ES;Federal;83;596.93;627.77;622.38;702.32;830.84;676.05
23;Três Passos;RS;Privada;28;587.34;622.18;597.66;701.24;868.57;675.4
24;Maria da Fé;MG;Privada;22;594.32;606.68;579.08;713.31;881.82;675.04
25;Cachoeiro de Itapemirim;ES;Federal;69;608.43;621.96;605.92;700.3;838.26;674.97
26;Timóteo;MG;Privada;84;588.43;607.65;585.99;713.2;877.14;674.48
27;Sarandi;RS;Privada;24;602.32;624.63;573.32;702.95;867.5;674.15
28;Ervália;MG;Privada;10;592.49;614.75;596.53;703.34;862.0;673.82
29;Itatim;BA;Privada;5;584.0;621.14;558.84;695.12;908.0;673.42
30;São Mateus;ES;Federal;59;599.76;625.52;603.1;711.69;825.08;673.03
31;Nova Prata;RS;Privada;14;583.36;564.21;601.14;695.33;918.57;672.52
32;Limoeiro do Norte;CE;Privada;108;584.29;600.24;580.16;678.66;915.37;671.75
33;Pombal;PB;Privada;19;585.17;616.28;568.69;680.05;904.21;670.88
34;Divinópolis;MG;Federal;89;591.28;611.25;589.3;709.55;852.36;670.75
35;Timóteo;MG;Federal;52;584.53;620.77;593.19;710.73;841.54;670.15
36;Campo Belo;MG;Privada;63;574.12;603.51;567.27;704.48;899.05;669.69
37;União da Serra;RS;Estadual;1;591.8;551.8;549.6;711.0;940.0;668.84
38;Belo Horizonte;MG;Federal;462;594.21;609.08;594.86;722.9;818.92;667.99
39;Itapuca;RS;Estadual;1;508.8;571.1;592.9;725.3;940.0;667.62
40;Venâncio Aires;RS;Privada;37;579.71;596.19;571.73;701.21;887.03;667.17
41;Urubici;SC;Privada;5;576.5;616.0;611.02;731.62;800.0;667.03
42;Holambra;SP;Privada;35;585.54;614.25;601.95;726.84;805.71;666.86
43;Itapecerica;MG;Privada;10;579.82;606.96;594.83;714.34;838.0;666.79
44;Pacaembu;SP;Privada;3;579.4;617.8;562.77;691.47;880.0;666.29
45;Comodoro;MT;Privada;2;554.15;619.55;596.85;679.4;880.0;665.99
46;Veranópolis;RS;Privada;48;591.09;602.17;579.07;677.24;878.75;665.67
47;Cesário Lange;SP;Privada;3;587.23;616.43;629.77;694.53;800.0;665.59
48;Carmo;RJ;Privada;20;577.98;600.23;549.9;693.49;906.0;665.52
49;Nonoai;RS;Privada;3;559.73;620.97;609.03;691.5;840.0;664.25
50;Itaparica;BA;Privada;7;604.14;607.34;582.43;639.93;885.71;663.91
51;Lagoa Vermelha;RS;Privada;31;584.96;599.4;574.77;682.13;877.42;663.74
52;Caxambu;MG;Privada;49;576.97;605.98;580.79;700.17;853.47;663.48
53;Simão Dias;SE;Privada;27;595.46;618.23;576.49;664.09;862.96;663.45
54;Divinópolis;MG;Privada;216;577.01;606.21;584.04;698.16;851.39;663.36
55;Viçosa;MG;Privada;233;571.99;602.21;581.38;694.6;866.52;663.34
56;Areal;RJ;Municipal;1;622.9;582.1;601.1;809.1;700.0;663.04
57;Cafelândia;PR;Privada;1;584.4;644.5;653.9;711.8;720.0;662.92
58;Campos Altos;MG;Privada;2;531.4;595.65;543.85;702.8;940.0;662.74
59;Itamarati de Minas;MG;Estadual;1;647.0;634.5;528.1;663.2;840.0;662.56
60;Apiaí;SP;Privada;4;562.33;599.83;557.1;701.58;890.0;662.16
61;Ipatinga;MG;Federal;48;597.56;622.21;574.94;683.84;831.67;662.04
62;Iguaí;BA;Privada;19;578.38;612.73;562.5;683.51;871.58;661.74
63;Santa Bárbara do Monte Verde;MG;Estadual;2;548.15;617.6;504.75;728.0;910.0;661.7
64;Vitória;ES;Privada;1086;582.06;601.85;587.59;687.26;849.3;661.61
65;Santo Antônio da Alegria;SP;Municipal;2;552.6;609.3;544.35;720.85;880.0;661.42
66;Itaúna;MG;Privada;151;587.54;613.28;586.67;708.09;809.8;661.07
67;Belo Horizonte;MG;Privada;4784;587.7;609.18;585.78;699.02;822.35;660.8
68;Bambuí;MG;Privada;9;562.49;607.63;578.37;681.53;873.33;660.67
69;Diamantina;MG;Privada;26;569.9;606.25;587.39;687.62;851.54;660.54
70;Rio Tinto;PB;Privada;3;593.93;606.9;557.93;701.8;840.0;660.11
71;Cuité;PB;Privada;8;565.1;604.01;545.78;682.15;902.5;659.91
72;Salinas;MG;Privada;19;583.26;604.95;585.41;680.53;845.26;659.88
73;Xaxim;SC;Privada;8;571.74;579.09;592.82;695.25;860.0;659.78
74;Guanhães;MG;Privada;28;568.8;589.12;551.95;689.58;897.86;659.46
75;Santa Maria;RS;Federal;150;593.45;604.08;599.5;703.92;795.47;659.28
76;Monte Sião;MG;Privada;30;589.33;610.11;573.65;706.16;816.67;659.19
77;Cláudio;MG;Privada;14;582.91;614.14;570.1;716.54;810.0;658.74
78;Ribeirão das Neves;MG;Federal;81;578.76;598.84;565.31;665.43;885.19;658.71
