POSICAO;CO_ESCOLA;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;23246847.0;Fortaleza;CE;Privada;Urbana;30;671.02;736.56;724.53;889.52;928.0;789.93
2;23246880.0;Fortaleza;CE;Privada;Urbana;45;653.09;711.79;694.82;863.24;889.33;762.45
3;50031163.0;Campo Grande;MS;Privada;Urbana;16;643.42;695.8;690.15;852.15;927.5;761.8
4;23235543.0;Fortaleza;CE;Privada;Urbana;33;653.72;720.59;675.27;850.28;900.61;760.09
5;23272333.0;Fortaleza;CE;Privada;Urbana;31;657.33;705.24;680.15;828.55;927.1;759.67
6;33184739.0;Rio de Janeiro;RJ;Privada;Urbana;17;643.88;703.42;666.32;868.04;916.47;759.62
7;31351725.0;Belo Horizonte;MG;Privada;Urbana;23;666.2;717.5;675.58;831.1;906.09;759.29
8;23246871.0;Fortaleza;CE;Privada;Urbana;34;650.16;699.37;682.88;832.43;910.59;755.09
9;35399197.0;São Paulo;SP;Privada;Urbana;42;644.52;701.4;713.8;864.69;843.81;753.64
10;60012167.0;Itapecerica;MG;Estadual;Urbana;1;623.3;659.3;667.5;866.7;940.0;751.36
11;22144714.0;Teresina;PI;Privada;Urbana;13;645.68;687.85;661.16;840.17;913.85;749.74
12;31004812.0;Belo Horizonte;MG;Privada;Urbana;184;641.28;697.48;681.22;837.89;889.57;749.49
13;15167275.0;Belém;PA;Privada;Urbana;33;640.19;691.43;657.03;815.46;927.27;746.28
14;60026271.0;Porto Alegre;RS;Privada;Urbana;2;692.55;716.35;634.2;802.45;880.0;745.11
15;24097004.0;Natal;RN;Privada;Urbana;42;646.33;693.98;676.02;782.56;920.95;743.97
16;35563006.0;São Paulo;SP;Privada;Urbana;42;636.49;677.43;692.37;841.66;871.43;743.88
17;31349720.0;Ipatinga;MG;Privada;Urbana;53;629.58;681.75;680.52;803.08;921.89;743.37
18;22025740.0;Teresina;PI;Privada;Urbana;174;638.97;680.74;663.37;833.61;898.16;742.97
19;23245573.0;Fortaleza;CE;Privada;Urbana;37;629.02;672.92;668.58;827.81;896.22;738.91
20;31350664.0;Belo Horizonte;MG;Privada;Urbana;312;639.12;690.52;669.91;798.27;895.19;738.6
