POSICAO;CO_ESCOLA;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
21;53013085.0;Brasília;DF;Privada;Urbana;175;634.21;673.93;671.42;806.92;895.89;736.48
22;33040516.0;Petrópolis;RJ;Privada;Urbana;22;630.35;666.13;649.54;804.36;930.91;736.26
23;33165920.0;Niterói;RJ;Privada;Urbana;30;628.29;675.76;657.8;804.07;914.67;736.12
24;35126974.0;Mogi das Cruzes;SP;Privada;Urbana;41;631.19;689.02;671.44;813.25;874.15;735.81
25;33135827.0;Rio de Janeiro;RJ;Privada;Urbana;41;622.92;681.5;665.89;795.5;908.29;734.82
26;53056000.0;Brasília;DF;Privada;Urbana;63;635.64;674.73;667.92;796.76;892.38;733.49
27;22027173.0;Teresina;PI;Privada;Urbana;12;641.94;668.89;639.93;804.0;911.67;733.29
28;33062633.0;Rio de Janeiro;RJ;Privada;Urbana;66;631.82;683.25;665.93;797.11;885.15;732.65
29;60012356.0;Belo Horizonte;MG;Privada;Urbana;2;642.55;698.7;662.7;866.3;790.0;732.05
30;50032895.0;Dourados;MS;Privada;Urbana;18;631.22;661.81;669.56;800.79;892.22;731.12
31;33149780.0;Rio de Janeiro;RJ;Privada;Urbana;12;626.28;670.86;665.97;795.28;896.67;731.01
32;22164219.0;Teresina;PI;Privada;Urbana;21;620.24;663.48;650.04;797.57;922.86;730.84
33;29485541.0;Salvador;BA;Privada;Urbana;109;633.65;681.24;655.48;789.04;893.03;730.49
34;31128074.0;Viçosa;MG;Federal;Urbana;154;631.81;688.34;657.49;781.35;893.38;730.47
35;43121926.0;Santa Maria;RS;Federal;Urbana;28;636.82;671.44;648.73;788.82;904.29;730.02
36;23564121.0;Fortaleza;CE;Privada;Urbana;30;640.59;689.41;657.18;786.34;871.33;728.97
37;26534711.0;Recife;PE;Privada;Urbana;111;634.37;663.55;654.12;789.89;902.88;728.96
38;60019558.0;São Paulo;SP;Privada;Urbana;2;644.35;648.25;670.85;811.05;870.0;728.9
39;50032100.0;Campo Grande;MS;Privada;Urbana;28;618.48;674.18;663.15;787.37;900.71;728.78
40;31004031.0;Belo Horizonte;MG;Privada;Urbana;74;624.32;670.86;636.82;794.12;914.86;728.2
41;35141240.0;São Paulo;SP;Privada;Urbana;66;632.62;683.26;669.91;775.74;874.55;727.21
42;26189569.0;Recife;PE;Privada;Urbana;88;628.18;659.66;649.02;785.56;901.82;724.85
43;23272430.0;Fortaleza;CE;Privada;Urbana;203;621.09;667.33;646.09;802.48;886.5;724.7
44;35286187.0;Valinhos;SP;Privada;Urbana;99;625.51;666.08;672.27;802.97;856.16;724.6
45;33188092.0;Rio de Janeiro;RJ;Privada;Urbana;21;628.8;652.42;628.61;791.6;920.95;724.48
46;35009757.0;Campinas;SP;Privada;Urbana;16;628.57;671.41;672.4;785.47;863.75;724.32
47;52068986.0;Goiânia;GO;Privada;Urbana;226;629.77;667.05;654.46;775.71;893.36;724.07
48;22022406.0;Teresina;PI;Privada;Urbana;48;622.6;657.85;653.34;777.86;907.92;723.91
49;43166407.0;Veranópolis;RS;Privada;Urbana;11;619.35;662.8;618.17;781.77;929.09;722.24
50;60014420.0;Rio de Janeiro;RJ;Privada;Urbana;3;651.3;684.93;628.47;732.47;913.33;722.1
51;50035380.0;Dourados;MS;Privada;Urbana;17;645.79;663.95;657.11;767.08;876.47;722.08
52;33036667.0;Angra dos Reis;RJ;Federal;Urbana;16;631.96;708.49;679.39;826.75;761.25;721.57
53;43173330.0;Porto Alegre;RS;Privada;Urbana;37;634.45;658.48;649.0;785.43;871.35;719.74
54;31317101.0;Juiz de Fora;MG;Privada;Urbana;42;627.12;653.31;625.52;760.06;931.9;719.58
55;35463279.0;São Paulo;SP;Privada;Urbana;107;622.63;661.21;658.54;775.74;879.25;719.47
56;53015789.0;Brasília;DF;Privada;Urbana;64;632.68;668.67;655.09;759.25;877.19;718.57
57;22129529.0;Teresina;PI;Privada;Urbana;33;616.67;636.46;641.95;771.63;926.06;718.56
58;33057206.0;Niterói;RJ;Privada;Urbana;75;628.31;661.31;633.23;776.6;890.4;717.97
59;32040032.0;Vitória;ES;Privada;Urbana;58;631.1;645.3;649.34;769.8;891.72;717.45
60;33065403.0;Rio de Janeiro;RJ;Privada;Urbana;153;625.01;669.13;636.44;769.48;885.23;717.06
61;26137631.0;Recife;PE;Privada;Urbana;151;633.0;660.91;632.66;774.95;882.52;716.81
62;43361340.0;Ijuí;RS;Estadual;Urbana;69;623.93;661.54;651.35;767.86;877.39;716.42
63;35583224.0;São Bernardo do Campo;SP;Privada;Urbana;13;635.71;679.2;669.29;768.62;827.69;716.1
64;31291030.0;Belo Horizonte;MG;Federal;Urbana;85;633.19;662.15;636.38;781.99;865.41;715.82
65;60029380.0;Brasília;DF;Privada;Urbana;7;615.27;677.09;658.41;764.64;862.86;715.65
66;23076208.0;Fortaleza;CE;Privada;Urbana;17;623.39;686.8;625.86;749.38;890.59;715.21
67;43082564.0;Lajeado;RS;Privada;Urbana;49;623.8;656.15;635.44;758.52;899.59;714.7
68;35165347.0;São Paulo;SP;Privada;Urbana;170;629.66;678.45;637.78;771.27;855.65;714.56
69;22022481.0;Teresina;PI;Privada;Urbana;102;621.15;663.74;636.61;745.1;894.9;712.3
70;26118165.0;Recife;PE;Privada;Urbana;65;621.63;657.91;617.83;762.05;898.15;711.52
71;31004651.0;Belo Horizonte;MG;Privada;Urbana;291;622.85;661.77;622.79;765.15;884.26;711.37
72;35805555.0;São José dos Campos;SP;Privada;Urbana;150;625.06;663.23;642.5;763.87;861.33;711.2
73;35290804.0;Ribeirão Preto;SP;Privada;Urbana;50;617.38;654.17;635.5;755.31;890.8;710.63
74;22143700.0;Teresina;PI;Privada;Urbana;21;623.93;655.97;603.23;742.32;927.62;710.62
75;29342880.0;Feira de Santana;BA;Privada;Urbana;38;625.79;660.24;645.32;751.5;870.0;710.57
76;33062609.0;Rio de Janeiro;RJ;Privada;Urbana;86;616.82;657.9;637.15;757.59;881.63;710.22
77;31371971.0;Viçosa;MG;Privada;Urbana;49;610.19;640.27;640.25;755.23;904.08;710.0
78;25097539.0;João Pessoa;PB;Privada;Urbana;65;620.69;651.08;620.5;743.28;913.85;709.88
79;26181231.0;Recife;PE;Privada;Urbana;39;619.95;661.46;621.46;778.19;864.62;709.14
80;33145237.0;Nova Friburgo;RJ;Privada;Urbana;25;623.26;647.94;620.5;744.95;907.2;708.77
81;33196214.0;Niterói;RJ;Privada;Urbana;66;621.7;663.13;624.05;748.88;884.85;708.52
82;32083882.0;Vitória;ES;Privada;Urbana;58;617.39;644.43;642.89;760.79;876.21;708.34
83;35154775.0;São Caetano do Sul;SP;Privada;Urbana;43;615.92;657.97;642.69;771.94;852.56;708.21
84;29437261.0;Feira de Santana;BA;Privada;Urbana;60;618.6;659.07;629.71;757.1;873.33;707.56
85;32041152.0;Vitória;ES;Privada;Urbana;63;617.81;665.56;629.53;734.52;890.16;707.52
86;31004731.0;Belo Horizonte;MG;Privada;Urbana;122;612.42;658.38;630.01;753.31;881.31;707.09
87;43238203.0;Porto Alegre;RS;Privada;Urbana;34;629.25;662.76;645.71;764.22;832.94;706.98
88;35134806.0;São Paulo;SP;Privada;Urbana;377;614.96;653.52;659.8;779.46;827.0;706.95
89;33176825.0;Rio de Janeiro;RJ;Privada;Urbana;175;618.66;650.81;626.88;759.68;878.06;706.82
90;33135371.0;Rio de Janeiro;RJ;Privada;Urbana;80;623.99;648.89;646.16;746.78;868.0;706.76
91;33104220.0;Rio de Janeiro;RJ;Privada;Urbana;77;616.1;647.83;628.69;757.53;879.74;705.98
92;52103137.0;Goiânia;GO;Privada;Urbana;319;613.84;648.56;634.01;753.23;878.56;705.64
93;31333921.0;Nova Lima;MG;Privada;Urbana;92;617.54;647.88;624.28;762.92;872.17;704.96
94;33055866.0;Niterói;RJ;Privada;Urbana;23;613.1;662.73;616.64;747.81;884.35;704.93
95;28032322.0;Aracaju;SE;Privada;Urbana;207;621.49;658.74;625.36;738.79;878.26;704.53
96;24088846.0;Natal;RN;Privada;Urbana;52;611.19;641.55;624.08;758.52;886.54;704.38
97;52096785.0;Goiânia;GO;Privada;Urbana;38;617.91;654.03;627.14;726.48;892.63;703.64
98;26187353.0;Recife;PE;Privada;Urbana;55;613.66;639.28;620.55;759.79;882.55;703.17
99;31006394.0;Belo Horizonte;MG;Privada;Urbana;112;622.0;648.51;622.55;746.14;874.46;702.73
100;60029245.0;Brasília;DF;Privada;Urbana;6;612.1;670.0;608.25;792.93;830.0;702.66
101;31118311.0;Formiga;MG;Privada;Urbana;34;596.53;653.62;627.73;744.76;890.0;702.53
102;22023658.0;Teresina;PI;Privada;Urbana;15;614.55;666.45;622.87;714.87;892.0;702.15
103;35173186.0;Santo André;SP;Privada;Urbana;162;620.13;650.48;640.95;751.78;847.04;702.08
104;43173845.0;Santa Maria;RS;Privada;Urbana;16;622.64;660.19;626.33;729.36;871.25;701.96
105;25120298.0;João Pessoa;PB;Privada;Urbana;224;604.84;655.99;630.9;744.15;872.68;701.71
106;31193216.0;Ipatinga;MG;Privada;Urbana;110;606.87;633.01;613.75;747.18;906.18;701.4
107;35103421.0;São Paulo;SP;Privada;Urbana;111;615.31;649.81;631.49;736.54;872.79;701.19
108;35561320.0;São José dos Campos;SP;Privada;Urbana;38;629.02;660.2;619.74;765.0;831.58;701.11
109;33063729.0;Rio de Janeiro;RJ;Privada;Urbana;219;615.37;649.49;622.72;744.83;871.87;700.86
110;31248401.0;Caxambu;MG;Privada;Urbana;18;607.33;645.13;625.48;758.9;866.67;700.7
111;15567672.0;Belém;PA;Privada;Urbana;36;614.97;660.7;617.29;709.25;901.11;700.66
112;35143406.0;São Paulo;SP;Privada;Urbana;23;608.74;642.62;623.39;744.63;882.61;700.4
113;35124199.0;São Paulo;SP;Privada;Urbana;163;620.19;656.65;641.6;762.06;819.14;699.93
114;60015754.0;Rio de Janeiro;RJ;Privada;Urbana;2;609.8;666.5;605.7;765.6;850.0;699.52
115;35136931.0;São Paulo;SP;Privada;Urbana;259;609.4;655.02;642.13;766.55;823.47;699.31
116;32040210.0;Vitória;ES;Privada;Urbana;15;596.81;632.41;621.83;733.91;910.67;699.13
117;60005239.0;Fortaleza;CE;Privada;Urbana;1;654.4;664.3;557.2;758.8;860.0;698.94
118;60014462.0;Rio de Janeiro;RJ;Privada;Urbana;9;625.73;637.43;604.56;724.06;902.22;698.8
119;33165998.0;Niterói;RJ;Privada;Urbana;52;600.94;638.55;617.08;734.43;901.92;698.58
120;33195340.0;Rio de Janeiro;RJ;Privada;Urbana;20;608.93;643.46;625.32;784.4;830.0;698.42
121;25133519.0;Campina Grande;PB;Privada;Urbana;151;610.46;647.75;616.6;735.23;881.06;698.22
122;17056446.0;Palmas;TO;Privada;Urbana;79;604.93;641.36;626.59;716.8;901.27;698.19
123;31249483.0;Nova Lima;MG;Privada;Urbana;9;641.38;661.39;612.18;722.66;853.33;698.19
124;35140193.0;Taubaté;SP;Privada;Urbana;26;615.12;647.65;630.51;707.43;890.0;698.14
125;31184331.0;Ubá;MG;Privada;Urbana;26;611.98;651.02;623.48;730.58;873.08;698.03
126;33063311.0;Rio de Janeiro;RJ;Privada;Urbana;63;620.81;657.29;606.25;740.05;865.4;697.96
127;52020517.0;Anápolis;GO;Privada;Urbana;30;592.79;629.63;631.59;713.02;920.0;697.41
128;31014630.0;Barbacena;MG;Federal;Urbana;44;613.47;657.25;629.41;802.81;784.09;697.41
129;33156913.0;Angra dos Reis;RJ;Privada;Urbana;18;601.26;643.71;629.88;735.97;874.44;697.05
130;43216471.0;Gravataí;RS;Privada;Urbana;11;611.3;639.9;624.29;740.4;869.09;697.0
131;60013394.0;Guaçuí;ES;Privada;Urbana;6;619.28;642.92;643.65;745.12;833.33;696.86
132;31327026.0;Pouso Alegre;MG;Privada;Urbana;39;603.08;637.05;640.89;734.48;867.69;696.64
133;52105962.0;Anápolis;GO;Privada;Urbana;13;611.79;643.32;621.39;716.22;889.23;696.39
134;32038178.0;Vila Velha;ES;Privada;Urbana;85;612.02;646.21;630.7;730.99;861.65;696.31
135;22025715.0;Teresina;PI;Privada;Urbana;84;606.28;635.17;608.3;747.37;884.05;696.23
136;35104985.0;São Paulo;SP;Privada;Urbana;381;621.18;650.51;632.2;759.75;816.59;696.05
137;35141392.0;Ourinhos;SP;Privada;Urbana;18;615.08;631.29;625.11;772.61;833.33;695.48
138;53012860.0;Brasília;DF;Privada;Urbana;108;617.42;640.67;626.27;737.3;855.0;695.33
139;33184720.0;Rio de Janeiro;RJ;Privada;Urbana;22;622.12;617.94;580.3;753.12;902.73;695.24
140;35468400.0;Guarulhos;SP;Privada;Urbana;24;612.22;648.6;609.22;746.0;860.0;695.21
141;35287600.0;São Paulo;SP;Privada;Urbana;28;596.39;646.15;625.16;737.96;870.0;695.13
142;33180385.0;Niterói;RJ;Privada;Urbana;160;614.1;638.37;607.21;730.18;884.0;694.77
143;31354910.0;Juiz de Fora;MG;Privada;Urbana;128;611.53;638.1;625.62;724.92;873.28;694.69
144;31004359.0;Belo Horizonte;MG;Privada;Urbana;69;611.05;633.34;604.81;732.9;891.3;694.68
145;60013028.0;Divinópolis;MG;Privada;Urbana;9;614.97;633.36;615.96;699.78;908.89;694.59
146;35136050.0;Jundiaí;SP;Privada;Urbana;82;611.62;641.22;633.85;756.11;828.78;694.32
147;33085846.0;Rio de Janeiro;RJ;Privada;Urbana;42;598.44;641.78;597.9;736.54;896.67;694.26
148;35579403.0;Campinas;SP;Privada;Urbana;65;610.73;647.46;643.09;752.63;816.62;694.1
149;60012323.0;Mariana;MG;Privada;Urbana;8;610.52;643.84;622.55;740.56;852.5;694.0
150;33105405.0;Rio de Janeiro;RJ;Privada;Urbana;95;609.49;649.3;605.01;735.33;869.47;693.72
151;43123988.0;Santa Maria;RS;Privada;Urbana;67;609.97;646.36;607.49;724.23;880.3;693.67
152;35140338.0;São Paulo;SP;Privada;Urbana;67;617.92;653.22;620.09;750.62;825.97;693.56
153;41148142.0;Curitiba;PR;Privada;Urbana;19;598.82;646.43;638.94;755.03;828.42;693.53
154;33075425.0;Rio de Janeiro;RJ;Privada;Urbana;85;609.4;644.31;618.24;737.61;857.41;693.39
155;25306936.0;João Pessoa;PB;Privada;Urbana;17;612.54;645.62;622.38;720.46;865.88;693.38
156;31342327.0;Pará de Minas;MG;Privada;Urbana;63;600.5;632.41;622.73;717.96;892.7;693.26
157;31293687.0;Varginha;MG;Privada;Urbana;56;604.84;650.43;609.58;732.0;869.29;693.23
158;24069191.0;Natal;RN;Privada;Urbana;120;607.11;625.49;615.09;728.84;889.0;693.11
159;32036671.0;Serra;ES;Privada;Urbana;29;600.77;633.49;617.45;744.81;868.97;693.09
160;35150022.0;Mogi Guaçu;SP;Privada;Urbana;16;600.06;643.39;634.26;750.94;835.0;692.73
161;31074373.0;Juiz de Fora;MG;Privada;Urbana;134;608.93;635.78;613.15;729.85;875.82;692.71
162;21009902.0;São Luís;MA;Privada;Urbana;62;610.17;645.55;618.24;731.02;858.06;692.61
163;33149550.0;Rio das Ostras;RJ;Privada;Urbana;24;613.15;643.98;611.78;726.27;867.5;692.54
164;42141036.0;Chapecó;SC;Privada;Urbana;54;607.13;648.6;625.84;725.37;853.7;692.13
165;35430808.0;Vinhedo;SP;Privada;Urbana;35;616.01;652.63;624.22;722.64;844.57;692.01
166;31342998.0;Três Corações;MG;Privada;Urbana;34;622.11;646.76;596.85;713.89;878.82;691.69
167;31193097.0;Ipatinga;MG;Privada;Urbana;76;596.13;630.55;616.82;719.39;895.0;691.58
168;35922936.0;Lorena;SP;Estadual;Rural;32;614.46;637.21;629.26;739.49;837.5;691.58
169;33139881.0;Macaé;RJ;Privada;Urbana;50;607.33;632.17;620.45;730.23;867.2;691.48
170;52101363.0;Goiânia;GO;Privada;Urbana;174;610.76;634.56;612.64;713.0;886.44;691.48
171;35175572.0;São José dos Campos;SP;Privada;Urbana;256;610.8;642.11;629.55;731.61;843.05;691.42
172;52094502.0;Catalão;GO;Privada;Urbana;35;606.99;649.62;626.14;718.9;855.43;691.41
173;32040040.0;Vitória;ES;Privada;Urbana;23;600.75;638.81;628.17;719.18;869.57;691.3
174;26163039.0;Recife;PE;Privada;Urbana;165;608.85;635.01;608.89;747.77;854.67;691.04
175;31006238.0;Belo Horizonte;MG;Privada;Urbana;137;615.36;651.86;608.27;743.08;836.35;690.98
176;42160383.0;Florianópolis;SC;Privada;Urbana;56;611.15;653.33;622.86;732.06;834.64;690.81
177;31205265.0;Lavras;MG;Privada;Urbana;71;600.54;631.48;592.0;712.8;917.18;690.8
178;33057109.0;Niterói;RJ;Privada;Urbana;140;606.72;636.31;599.36;721.34;890.29;690.8
179;28037812.0;Aracaju;SE;Privada;Urbana;19;605.47;631.33;616.55;704.82;895.79;690.79
180;31320536.0;Uberaba;MG;Privada;Urbana;30;606.77;650.67;630.4;704.73;860.0;690.51
181;31014061.0;Contagem;MG;Privada;Urbana;66;603.28;632.94;592.2;720.78;902.73;690.39
182;35137881.0;Atibaia;SP;Privada;Urbana;30;609.75;619.13;611.12;741.84;870.0;690.37
183;42118239.0;Fraiburgo;SC;Privada;Urbana;18;607.26;635.19;602.68;711.98;894.44;690.31
184;31268631.0;Divinópolis;MG;Federal;Urbana;90;608.7;635.37;611.04;741.74;854.44;690.26
185;35132287.0;São Paulo;SP;Privada;Urbana;240;613.73;645.15;635.27;719.75;837.25;690.23
186;60018913.0;São Paulo;SP;Privada;Urbana;3;630.8;619.73;583.27;723.87;893.33;690.2
187;31041181.0;Divinópolis;MG;Privada;Urbana;51;601.38;633.72;607.96;725.28;882.35;690.14
188;35132007.0;Americana;SP;Privada;Urbana;44;615.49;650.5;620.1;733.46;830.91;690.09
189;33077029.0;Rio de Janeiro;RJ;Privada;Urbana;33;599.57;635.52;609.01;718.23;887.27;689.92
190;35154295.0;Santos;SP;Privada;Urbana;81;597.2;631.39;615.79;711.73;891.85;689.59
191;52033848.0;Goiânia;GO;Privada;Urbana;71;598.11;618.66;613.37;727.91;889.86;689.58
192;41352866.0;Curitiba;PR;Privada;Urbana;54;607.9;637.06;628.11;725.88;847.78;689.35
193;29328560.0;Teixeira de Freitas;BA;Privada;Urbana;35;592.07;611.16;614.88;724.51;903.43;689.21
194;33196249.0;Rio de Janeiro;RJ;Privada;Urbana;61;611.29;629.74;588.06;751.15;865.25;689.1
195;35007592.0;São Paulo;SP;Privada;Urbana;56;601.44;627.7;630.08;746.96;838.93;689.02
196;35104620.0;São Paulo;SP;Privada;Urbana;187;620.59;645.36;622.49;736.21;820.32;689.0
197;29436168.0;Barreiras;BA;Privada;Urbana;21;617.56;636.2;605.34;699.92;884.76;688.76
198;31377040.0;Curvelo;MG;Privada;Urbana;16;606.05;639.39;613.14;700.99;883.75;688.67
199;31339989.0;Conselheiro Lafaiete;MG;Privada;Urbana;29;601.36;635.16;601.35;737.67;867.59;688.62
200;43139108.0;São Leopoldo;RS;Privada;Urbana;80;618.15;644.81;621.59;733.44;825.0;688.6
201;35140995.0;Taubaté;SP;Privada;Urbana;14;599.56;619.41;638.92;723.62;861.43;688.59
202;35449003.0;Ribeirão Preto;SP;Privada;Urbana;141;613.09;638.5;618.93;716.27;855.04;688.37
203;29480620.0;Camaçari;BA;Privada;Urbana;16;610.16;649.61;613.05;707.47;861.25;688.31
204;24057134.0;Natal;RN;Privada;Urbana;131;608.43;633.72;606.44;718.03;874.81;688.29
205;33160830.0;Rio de Janeiro;RJ;Privada;Urbana;29;609.47;616.89;600.69;726.97;886.9;688.18
206;35142967.0;São Bernardo do Campo;SP;Privada;Urbana;196;618.32;637.92;607.14;725.22;851.53;688.03
207;33140502.0;Niterói;RJ;Privada;Urbana;24;599.46;639.72;592.19;694.28;914.17;687.96
208;31364517.0;Timóteo;MG;Privada;Urbana;29;608.79;645.14;596.77;712.46;875.86;687.8
209;35195005.0;Barueri;SP;Privada;Urbana;55;606.84;624.78;617.17;733.42;856.36;687.72
210;33063656.0;Rio de Janeiro;RJ;Privada;Urbana;15;611.35;644.63;587.61;710.79;884.0;687.68
211;22056955.0;Floriano;PI;Privada;Urbana;17;590.44;632.51;593.33;702.64;918.82;687.55
212;31000019.0;Belo Horizonte;MG;Federal;Urbana;182;607.66;627.35;620.15;738.5;844.07;687.54
213;31006157.0;Belo Horizonte;MG;Privada;Urbana;42;606.52;640.26;622.08;717.87;850.48;687.44
214;21290229.0;São Luís;MA;Privada;Urbana;110;601.85;629.74;606.44;720.76;878.36;687.43
215;60014277.0;Nova Iguaçu;RJ;Privada;Urbana;2;648.3;672.3;570.45;805.15;740.0;687.24
216;24085634.0;Natal;RN;Privada;Urbana;23;583.67;633.4;616.36;713.41;888.7;687.11
217;29422272.0;Salvador;BA;Privada;Urbana;49;600.43;636.44;597.2;730.42;871.02;687.1
218;33148376.0;Rio de Janeiro;RJ;Privada;Urbana;71;605.71;642.25;592.14;732.15;862.25;686.9
219;52059383.0;Itumbiara;GO;Privada;Urbana;18;589.46;632.99;612.64;730.38;868.89;686.87
220;60019418.0;São Paulo;SP;Privada;Urbana;1;658.1;654.7;672.3;688.7;760.0;686.76
221;29222982.0;Amargosa;BA;Privada;Urbana;15;607.69;648.21;618.8;719.91;838.67;686.66
222;53013875.0;Brasília;DF;Privada;Urbana;14;604.41;624.11;629.58;729.34;845.71;686.63
223;33104247.0;Rio de Janeiro;RJ;Privada;Urbana;31;597.2;638.04;625.27;714.45;856.77;686.35
224;35158483.0;São Paulo;SP;Privada;Urbana;44;609.75;641.7;626.56;727.73;825.91;686.33
225;60006447.0;João Pessoa;PB;Privada;Urbana;5;598.1;639.1;613.26;717.12;864.0;686.32
226;33189838.0;Rio de Janeiro;RJ;Privada;Urbana;26;605.88;646.02;585.32;703.57;890.77;686.31
227;31205231.0;Lavras;MG;Privada;Urbana;63;595.63;628.22;594.25;707.0;906.35;686.29
228;33085897.0;Rio de Janeiro;RJ;Privada;Urbana;37;597.93;636.03;626.38;695.78;875.14;686.25
229;35802578.0;São Bernardo do Campo;SP;Privada;Urbana;37;600.96;636.22;612.17;721.17;860.54;686.21
230;31005037.0;Belo Horizonte;MG;Privada;Urbana;153;594.47;641.11;600.04;719.77;875.42;686.16
231;24089214.0;Natal;RN;Privada;Urbana;77;593.26;627.11;605.42;712.58;891.95;686.06
232;43155197.0;Teutônia;RS;Privada;Urbana;28;607.07;624.78;610.44;730.06;857.14;685.9
233;33198640.0;Niterói;RJ;Privada;Urbana;15;612.87;624.85;605.71;711.0;874.67;685.82
234;35112513.0;Campinas;SP;Privada;Urbana;53;622.5;653.62;619.54;734.27;798.87;685.76
235;31193038.0;Coronel Fabriciano;MG;Privada;Urbana;64;597.33;630.98;588.58;703.82;907.81;685.71
236;35139178.0;Santo André;SP;Privada;Urbana;69;602.52;634.32;604.08;724.53;862.9;685.67
237;33116903.0;Rio de Janeiro;RJ;Privada;Urbana;47;594.73;627.08;602.91;700.08;903.4;685.64
238;51036169.0;Cuiabá;MT;Privada;Urbana;16;591.34;638.8;597.23;730.95;868.75;685.42
239;35135288.0;Osasco;SP;Privada;Urbana;72;606.72;633.59;624.53;718.79;843.33;685.39
240;52097676.0;Goiânia;GO;Privada;Urbana;149;604.17;631.75;616.34;710.96;863.49;685.34
241;31333361.0;Timóteo;MG;Federal;Urbana;81;594.78;634.45;600.52;729.71;866.67;685.22
242;35009870.0;Avaré;SP;Privada;Urbana;36;591.56;639.73;594.4;712.38;887.22;685.06
243;60016124.0;Teodoro Sampaio;SP;Privada;Urbana;7;605.09;633.33;624.64;678.03;882.86;684.79
244;33100713.0;Rio de Janeiro;RJ;Privada;Urbana;38;595.39;625.95;588.73;723.05;890.0;684.62
245;35140065.0;São José dos Campos;SP;Privada;Urbana;32;596.92;613.93;604.65;729.84;877.5;684.57
246;31312177.0;Itaúna;MG;Privada;Urbana;33;598.88;616.36;617.37;718.15;871.52;684.46
247;31379719.0;Sete Lagoas;MG;Privada;Urbana;25;595.64;614.54;627.58;711.45;872.8;684.4
248;32041411.0;Vitória;ES;Privada;Urbana;231;596.28;619.93;615.01;713.81;876.71;684.35
249;53016726.0;Brasília;DF;Privada;Urbana;210;613.04;635.78;620.75;714.6;836.86;684.2
250;25073214.0;Campina Grande;PB;Privada;Urbana;98;605.34;638.13;600.39;705.08;871.84;684.16
251;35139208.0;São Caetano do Sul;SP;Privada;Urbana;15;612.53;618.33;603.37;700.86;885.33;684.08
252;33078866.0;Rio de Janeiro;RJ;Privada;Urbana;35;603.58;624.79;603.58;719.75;868.57;684.06
253;13032020.0;Manaus;AM;Privada;Urbana;33;611.68;645.75;613.53;714.1;835.15;684.04
254;32071957.0;Venda Nova do Imigrante;ES;Privada;Urbana;9;600.52;645.4;589.51;706.89;877.78;684.02
255;31322903.0;São Gonçalo do Sapucaí;MG;Privada;Urbana;25;598.16;629.62;608.66;735.01;848.0;683.89
256;13025872.0;Manaus;AM;Privada;Urbana;105;600.26;638.15;613.92;719.96;846.86;683.83
257;28037723.0;Aracaju;SE;Privada;Urbana;28;601.96;641.77;605.02;692.24;877.86;683.77
258;33178879.0;Rio de Janeiro;RJ;Privada;Urbana;20;598.02;608.16;572.4;735.08;905.0;683.73
259;60023502.0;Curitiba;PR;Privada;Urbana;1;616.6;661.5;571.1;748.9;820.0;683.62
260;31309770.0;Formiga;MG;Privada;Urbana;20;592.04;627.83;600.53;712.71;885.0;683.62
