POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;São Roque de Minas;MG;Privada;1;652.8;620.0;677.9;849.1;940.0;747.96
2;Matipó;MG;Privada;1;641.3;679.6;620.3;791.5;960.0;738.54
3;Viçosa;MG;Federal;153;619.84;674.53;647.35;807.24;916.47;733.09
4;Cássia;MG;Privada;4;642.62;672.1;652.83;801.82;890.0;731.88
5;Serafina Corrêa;RS;Privada;2;608.0;601.8;613.85;753.9;940.0;703.51
6;Vila Velha;ES;Federal;32;607.73;645.04;627.44;741.99;835.0;691.44
7;Divinópolis;MG;Federal;94;603.95;623.42;598.79;732.8;891.28;690.05
8;Patos;PB;Municipal;1;627.6;633.1;584.6;736.2;860.0;688.3
9;Capelinha;MG;Privada;9;601.48;622.99;623.97;718.18;871.11;687.54
10;Quixeré;CE;Privada;6;600.17;614.55;621.52;748.28;850.0;686.9
11;Jaguaribe;CE;Privada;5;600.98;622.58;592.56;733.88;884.0;686.8
12;Ipatinga;MG;Privada;316;597.61;620.73;601.39;721.91;889.62;686.25
13;Carmópolis de Minas;MG;Privada;2;608.05;671.5;630.45;722.9;790.0;684.58
14;Itapecerica;MG;Privada;6;602.37;626.68;608.47;733.28;850.0;684.16
15;Caeté;MG;Privada;10;607.03;617.5;594.73;720.89;862.0;680.43
16;Monte Santo de Minas;MG;Privada;8;604.54;608.55;581.46;743.09;860.0;679.53
17;São Sebastião do Paraíso;MG;Privada;41;596.83;615.24;591.36;702.07;891.71;679.44
18;Matelândia;PR;Privada;1;603.6;608.7;649.9;728.8;800.0;678.2
19;Pompéu;MG;Privada;10;586.9;608.48;606.21;728.65;860.0;678.05
20;Timóteo;MG;Federal;75;598.02;629.75;602.0;736.69;819.2;677.13
21;Cachoeiro de Itapemirim;ES;Federal;68;606.86;628.13;607.37;722.65;820.0;677.0
22;Itapiranga;SC;Privada;5;593.82;616.0;590.38;738.04;840.0;675.65
23;Cláudio;MG;Privada;1;655.4;665.6;617.4;736.6;700.0;675.0
24;Ubá;MG;Privada;123;590.8;620.41;599.57;712.7;846.5;674.0
25;São Gonçalo do Sapucaí;MG;Privada;26;584.6;607.68;581.19;722.94;871.54;673.59
26;Belo Horizonte;MG;Federal;693;603.53;625.13;602.56;738.53;796.08;673.16
27;Taquari;RS;Privada;9;612.43;620.3;579.79;715.28;835.56;672.67
28;Vitória;ES;Federal;257;597.05;618.77;609.67;732.14;796.26;670.78
29;Varginha;MG;Federal;65;608.38;621.95;585.03;714.33;823.38;670.61
30;Vespasiano;MG;Privada;30;597.73;629.37;586.35;708.21;830.0;670.33
31;Carmo do Rio Claro;MG;Privada;17;588.46;599.71;603.64;710.94;848.24;670.2
32;Muriaé;MG;Federal;62;590.5;614.12;591.9;711.35;838.06;669.19
33;Santa Teresa;ES;Privada;12;579.13;614.44;596.26;693.2;853.33;667.27
34;Matozinhos;MG;Privada;3;612.9;632.83;615.93;672.63;800.0;666.86
35;Vila Lângaro;RS;Estadual;2;593.8;579.4;526.65;713.55;920.0;666.68
36;São Bento do Sapucaí;SP;Privada;1;572.3;603.1;610.5;686.5;860.0;666.48
