POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;Viçosa;MG;Federal;156;618.42;699.94;681.9;780.91;834.87;723.21
2;Itamogi;MG;Privada;6;583.92;663.02;616.77;697.6;803.33;672.93
3;Angra dos Reis;RJ;Federal;25;600.21;657.64;625.92;781.64;687.2;670.52
4;Vitória;ES;Federal;157;604.03;642.07;639.13;730.8;736.05;670.42
5;Brazópolis;MG;Privada;16;592.84;654.88;608.83;758.93;736.25;670.35
6;Belo Horizonte;MG;Federal;742;614.49;651.68;629.29;716.21;737.3;669.8
7;Timóteo;MG;Federal;66;609.05;638.47;621.03;705.24;764.85;667.73
8;Varginha;MG;Federal;81;625.05;650.81;619.27;694.47;748.89;667.7
9;Contagem;MG;Federal;63;616.01;645.46;619.97;701.3;741.27;664.8
10;Divinópolis;MG;Federal;95;617.46;642.43;609.03;690.51;764.0;664.69
11;Timóteo;MG;Privada;136;591.15;644.57;604.52;661.81;810.15;662.44
12;Pato Branco;PR;Federal;30;603.64;628.82;612.21;717.85;749.33;662.37
13;Cornélio Procópio;PR;Federal;26;612.34;643.29;606.43;692.29;744.62;659.79
14;Niterói;RJ;Federal;201;610.78;649.8;610.96;657.7;769.45;659.74
15;Ervália;MG;Privada;14;597.08;633.8;604.84;676.34;782.86;658.98
16;Ubá;MG;Privada;151;589.81;631.17;610.89;697.6;765.43;658.98
17;Cariacica;ES;Federal;89;610.27;648.24;629.06;697.38;703.6;657.71
18;Arroio do Meio;RS;Privada;18;593.61;617.83;602.49;679.54;791.11;656.91
19;Pacajus;CE;Privada;78;602.12;632.38;590.91;640.57;812.82;655.76
20;Volta Redonda;RJ;Federal;60;601.28;636.52;615.17;742.15;682.33;655.49
21;Valinhos;SP;Privada;475;615.95;638.26;611.27;678.45;722.44;653.28
22;Cachoeiro de Itapemirim;ES;Federal;56;605.33;647.68;628.11;678.7;703.57;652.68
23;Aracruz;ES;Federal;59;597.3;638.05;623.41;693.14;704.41;651.26
24;Curvelo;MG;Federal;65;600.64;628.6;610.0;680.94;731.08;650.25
25;Ipatinga;MG;Privada;500;591.22;630.97;604.87;660.14;762.34;649.91
26;Sete Lagoas;MG;Privada;320;597.58;630.82;591.79;648.26;774.38;648.56
27;Curitiba;PR;Federal;465;607.43;636.98;610.06;699.11;687.05;648.13
28;Holambra;SP;Privada;27;598.65;633.42;619.96;683.32;705.19;648.11
29;Areado;MG;Privada;19;580.03;636.68;615.05;670.36;737.89;648.0
30;Monte Mor;SP;Privada;16;611.02;633.4;620.64;702.38;665.0;646.49
