municipio,uf,instituto_federal,latitude,longitude
São João da Boa Vista,SP,IFSP,-21.96871,-46.796922
São Paulo,SP,IFSP,-23.550651,-46.633382
São Paulo - Cidade Tiradentes,SP,IFSP,-23.583968,-46.410404
São Paulo - Jardim Ângela,SP,IFSP,-23.683894,-46.778045
São Roque,SP,IFSP,-23.530484,-47.135547
São Vicente,SP,IFSP,-23.966418,-46.38614
Tupã,SP,IFSP,-21.934913,-50.514125
Votuporanga,SP,IFSP,-20.425291,-49.972028
Araguatins,TO,IFTO,-5.652938,-48.116192
Araguaína,TO,IFTO,-7.193657,-48.206465
Buritis,TO,IFTO,-5.570598,-47.848123
Colinas do Tocantins,TO,IFTO,-8.061269,-48.471677
Dianópolis,TO,IFTO,-11.624008,-46.819787
Formoso do Araguaia,TO,IFTO,-11.805999,-49.525715
Gurupi,TO,IFTO,-11.72794,-49.068046
Lagoa da Confusão,TO,IFTO,-10.788305,-49.622443
Palmas,TO,IFTO,-10.183785,-48.333642
Paraíso do Tocantins,TO,IFTO,-10.175247,-48.886759
Pedro Afonso,TO,IFTO,-8.975735,-48.173328
Porto Nacional,TO,IFTO,-10.701979,-48.411095
Tocantinópolis,TO,IFTO,-6.328093,-47.421767
Frederico Westphalen,RS,IF Farroupilha,-27.35711,-53.396412
Goiás,GO,IF Goiano,-15.94089,-50.14654
Boa Esperança,MG,IF Sul de Minas,-21.090125,-45.56602
Itapina,ES,IFES,-19.508555,-40.799095
Goiânia Oeste,GO,IFG,-16.695077,-49.210455
Caxias,MA,IFMA,-4.86542,-43.353664
Mirinzal,MA,IFMA,-2.066454,-44.783735
Presidente Dutra,MA,IFMA,-5.289801,-44.49498
Vitorino Freire,MA,IFMA,-4.28853,-45.241758
Ibirité,MG,IFMG,-20.021425,-44.062151
Niterói,RJ,IFRJ,-22.8884,-43.1147
Realengo,RJ,IFRJ,-22.877274,-43.430103
São João de Meriti,RJ,IFRJ,-22.785357,-43.366715
Jucurutu,RN,IFRN,-6.034352,-37.018625
São Miguel do Guaporé,RO,IFRO,-11.695147,-62.719574
Restinga,RS,IFRS,-30.152179,-51.143139
Bauru,SP,IFSP,-22.31738,-49.068978
Miracatu,SP,IFSP,-24.283908,-47.453513
Pirituba,SP,IFSP,-23.485533,-46.721939
Rio Claro,SP,IFSP,-22.410011,-47.560393
São José do Rio Preto,SP,IFSP,-20.812585,-49.380421
São Miguel Paulista,SP,IFSP,-23.494878,-46.439079
São Luís – Centro Histórico,MA,IFMA,-2.529526,-44.296394
São Luís – Maracanã,MA,IFMA,-2.529526,-44.296394
São Luís – Monte Castelo,MA,IFMA,-2.529526,-44.296394
