POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;Chapada Gaúcha;MG;Municipal;1;681.5;679.0;680.7;781.4;920.0;748.52
2;Viçosa;MG;Federal;148;620.56;663.42;647.46;787.24;868.78;717.49
3;Dores de Campos;MG;Privada;1;576.5;666.5;644.9;737.5;900.0;705.08
4;Angra dos Reis;RJ;Federal;39;618.39;657.7;639.38;818.46;779.49;702.68
5;Porto Real;RJ;Privada;1;616.0;664.8;658.6;756.6;800.0;699.2
6;Vila Velha;ES;Federal;67;617.18;638.74;619.22;729.59;857.31;692.41
7;Serafina Corrêa;RS;Privada;2;602.4;636.55;624.75;747.7;850.0;692.28
8;Pirapetinga;MG;Privada;1;582.8;624.4;609.5;743.4;900.0;692.02
9;Capelinha;MG;Privada;15;589.6;622.08;591.91;712.07;902.67;683.66
10;Vitória;ES;Federal;222;606.83;635.91;611.89;734.13;822.52;682.26
11;Ervália;MG;Privada;6;598.57;640.3;560.17;697.08;913.33;681.89
12;Bambuí;MG;Privada;12;603.14;621.32;582.83;702.16;896.67;681.22
13;Cândido Mota;SP;Privada;7;603.46;608.61;600.16;725.76;857.14;679.03
14;Tapejara;RS;Privada;1;557.3;644.9;595.2;724.3;860.0;676.34
15;Carmo da Mata;MG;Privada;6;592.75;625.95;583.47;730.37;843.33;675.17
16;Ibitiúra de Minas;MG;Estadual;2;567.8;638.3;591.5;726.6;850.0;674.84
17;Eldorado;MS;Privada;3;592.0;597.4;577.6;732.67;866.67;673.27
18;Belo Horizonte;MG;Federal;560;606.84;626.49;599.36;720.18;806.54;671.88
19;Divinópolis;MG;Federal;95;605.16;618.55;592.26;710.67;829.68;671.27
20;Tanhaçu;BA;Privada;8;581.34;602.3;576.59;693.76;895.0;669.8
21;Barbacena;MG;Federal;121;602.76;627.95;606.89;726.06;781.82;669.1
22;Pompéu;MG;Privada;10;586.12;607.06;573.77;673.62;902.0;668.51
23;Aquidauana;MS;Privada;3;566.6;623.5;595.5;674.87;873.33;666.76
24;Aspásia;SP;Estadual;2;606.6;575.45;520.9;716.25;910.0;665.84
25;Ipatinga;MG;Privada;407;583.06;611.0;581.44;689.64;862.06;665.44
26;Encantado;RS;Privada;4;626.83;626.72;592.58;689.42;790.0;665.11
27;Serra;ES;Federal;45;602.95;622.92;588.2;700.36;808.0;664.49
28;Ubajara;CE;Privada;13;597.79;622.13;549.71;648.81;901.54;664.0
29;Teutônia;RS;Privada;23;585.19;605.55;582.07;712.62;833.91;663.87
30;Jaboatão dos Guararapes;PE;Municipal;1;623.5;635.2;550.5;642.9;860.0;662.42
31;Erechim;RS;Federal;18;597.03;622.01;582.55;669.11;840.0;662.14
32;Guanhães;MG;Privada;30;587.81;594.25;551.18;703.12;873.33;661.94
33;Cristina;MG;Privada;3;606.1;623.67;600.6;682.07;793.33;661.15
34;Timóteo;MG;Privada;94;578.29;605.39;566.22;685.99;868.72;660.92
35;Venda Nova do Imigrante;ES;Privada;13;578.78;625.74;581.77;707.28;807.69;660.25
36;Ivinhema;MS;Privada;6;615.9;625.4;566.58;670.88;820.0;659.75
37;Venâncio Aires;RS;Privada;31;575.95;589.92;560.69;694.78;870.32;658.33
38;Braganey;PR;Privada;4;596.7;623.1;599.55;679.98;785.0;656.86
39;Marcelino Ramos;RS;Estadual;4;605.42;613.67;540.35;653.4;870.0;656.57
40;Guará;SP;Privada;6;580.28;626.35;577.73;685.07;813.33;656.55
41;Itaocara;RJ;Privada;32;578.79;603.05;550.44;681.98;866.25;656.1
42;Cássia;MG;Privada;4;597.8;600.7;577.55;640.15;860.0;655.24
43;Três Marias;MG;Privada;14;581.36;606.43;577.67;685.09;824.29;654.97
44;Campo Belo;MG;Privada;59;570.51;609.03;557.29;681.36;852.2;654.08
45;Divinópolis;MG;Privada;262;576.78;605.44;561.78;684.03;840.61;653.73
46;Ituporanga;SC;Municipal;1;616.7;638.0;518.5;675.0;820.0;653.64
47;Nossa Senhora da Glória;SE;Privada;40;573.0;609.07;561.03;664.16;860.5;653.55
48;Acopiara;CE;Privada;7;567.97;614.83;566.97;645.73;871.43;653.39
49;Valinhos;SP;Privada;382;590.16;612.19;588.98;688.27;785.29;652.98
50;Itaúna;MG;Privada;137;588.58;604.64;570.45;679.51;820.88;652.81
51;Maravilha;SC;Privada;7;592.6;620.57;597.03;713.43;740.0;652.73
52;Timóteo;MG;Federal;76;607.66;614.91;579.04;684.09;777.89;652.72
53;Sarandi;RS;Privada;10;600.4;608.06;558.53;688.91;806.0;652.38
54;São Mateus;ES;Federal;56;593.06;606.55;587.72;679.62;791.79;651.75
55;Santa Maria;RS;Federal;177;592.16;608.71;576.71;666.98;813.9;651.69
56;Quixeramobim;CE;Privada;29;591.47;608.47;566.84;677.02;813.79;651.52
57;Limoeiro do Norte;CE;Privada;91;567.13;590.54;556.41;649.11;893.41;651.32
58;Nova Friburgo;RJ;Federal;28;593.82;602.29;549.86;661.19;849.29;651.29
59;Santa Quitéria;CE;Privada;3;565.43;608.47;535.97;686.53;860.0;651.28
60;Santa Luzia;MG;Federal;59;597.61;613.36;564.68;669.52;811.19;651.27
61;Ribeirão das Neves;MG;Federal;73;589.24;596.54;569.39;648.35;852.6;651.22
62;Belo Horizonte;MG;Privada;4845;586.7;606.56;571.57;677.94;811.74;650.9
63;Granja;CE;Privada;3;573.3;584.7;596.4;659.73;840.0;650.83
64;Braço do Norte;SC;Privada;22;586.02;612.42;570.37;656.44;828.18;650.69
65;Conceição das Pedras;MG;Estadual;1;592.2;622.4;584.3;794.3;660.0;650.64
66;Campos Gerais;MG;Privada;21;564.79;593.07;583.98;671.74;839.05;650.53
67;João Monlevade;MG;Privada;76;581.83;594.35;555.17;667.95;852.11;650.28
68;Guarapari;ES;Federal;95;595.21;614.19;574.07;666.4;801.05;650.18
69;Vitória;ES;Privada;1040;578.87;603.53;567.78;663.42;837.17;650.15
70;São Sebastião da Grama;SP;Privada;9;593.28;590.96;597.58;653.38;813.33;649.7
71;Raul Soares;MG;Privada;24;564.32;606.34;554.52;635.46;887.5;649.63
